epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2496175537109373,2.229887003580729,17.118,24.0
1,1.9966037074497769,2.0416266004774304,28.032,32.04
2,1.882456004862883,1.971822075737847,32.604,35.88
3,1.8389582669005098,1.940642835828993,35.328,37.58
4,1.8054798110650516,1.9242623697916668,37.29,39.11
5,1.776365839744101,1.9112349446614583,39.146,40.62
6,1.7622727823062814,1.8954127332899304,40.142,41.25
7,1.7504574348294009,1.909772203233507,41.236,41.42
8,1.751692963269292,1.9140730929904513,42.008,42.18
9,1.7564265834263388,1.9145364447699653,42.534,42.97
10,1.7585735560825886,1.919929958767361,42.912,43.2
11,1.7628823217275191,1.9356565755208333,43.01,43.04
12,1.7704633116430168,1.9485266384548612,43.126,43.01
13,1.7810821234255427,1.957201782226563,43.244,43.65
14,1.7836606993383293,1.9755728488498265,43.296,43.62
15,1.7854030537507972,1.9874443359375,43.468,43.72
16,1.793228538046078,1.9929226752387155,43.718,43.78
17,1.8017741400271037,1.9882302652994792,43.806,43.77
18,1.8093089300661678,1.9943173963758685,43.928,44.06
19,1.8182362035634567,2.015672620985243,44.044,43.68
20,1.8287762949418045,2.0426487223307292,44.082,43.53
21,1.8392909633091514,2.0483003607855905,44.152,43.74
22,1.8423449258609699,2.0482110731336807,44.158,44.0
23,1.8485837327606829,2.0576126573350697,44.172,43.86
24,1.8560930524553574,2.0729181043836804,44.216,43.92
25,1.8640506168287623,2.0869426269531246,44.136,43.71
26,1.8732066301618298,2.099034315321181,44.092,43.82
27,1.8836071926817604,2.1106961263020834,44.146,43.77
28,1.891936633051659,2.1193194444444448,44.12,43.77
29,1.9013895861567278,2.12749658203125,44.13,43.92
30,1.9084437679368622,2.136997748480903,44.12,43.83
31,1.9156587536870213,2.1496960177951387,44.112,43.75
32,1.92391842713648,2.160913981119792,44.172,43.72
33,1.9319220419124679,2.173270521375868,44.136,43.5
34,1.9405208241988199,2.1858604736328124,44.156,43.32
35,1.9490718819754458,2.196776828342014,44.098,43.25
36,1.9570184749681117,2.210004489474826,44.052,43.26
37,1.9649583715322072,2.2217668457031254,44.022,43.07
38,1.9738142338966838,2.234318183051215,43.944,43.08
39,1.9823687669403698,2.245531372070312,43.956,42.95
40,1.9914480777662629,2.256314792209201,43.848,42.8
41,2.000373308454241,2.2696159125434026,43.798,42.57
42,2.0088957145846624,2.280224772135417,43.778,42.51
43,2.0176218261718746,2.2902816026475694,43.718,42.31
44,2.0269351756816008,2.3010878363715275,43.682,42.38
45,2.0353958441286673,2.311111070421007,43.63,42.27
46,2.0431743213887126,2.3208409559461805,43.596,42.31
47,2.051383240991709,2.3311573486328125,43.528,42.38
48,2.060204729352679,2.341370849609375,43.492,42.3
49,2.068468321508291,2.35231745062934,43.412,42.0
50,2.0771726796675702,2.362878716362847,43.384,41.83
51,2.0862100157445793,2.374809380425347,43.304,41.67
52,2.0951869643853636,2.386001898871528,43.236,41.64
53,2.103785684390944,2.3964481743706596,43.136,41.62
54,2.113050875916772,2.408109700520834,43.122,41.49
55,2.1218475117586104,2.4191956922743056,43.02,41.46
56,2.1304054602798157,2.4292705620659722,42.926,41.42
57,2.139077345244739,2.4406443142361107,42.84,41.41
58,2.148007618183992,2.4504605034722218,42.75,41.38
59,2.15638192313058,2.4598006184895835,42.684,41.4
60,2.1648425392617985,2.472933539496528,42.638,41.3
61,2.1735123141541774,2.483139458550347,42.576,41.25
62,2.181203874860491,2.4925370279947914,42.552,41.15
63,2.188788898078763,2.5017424587673616,42.498,41.04
64,2.1967093032525513,2.5117250162760416,42.4,40.97
65,2.205262869698661,2.521093153211806,42.31,40.77
66,2.2129523053850453,2.5310256618923606,42.29,40.73
67,2.2210209512515937,2.539905137803819,42.222,40.54
68,2.229087310168208,2.5493869357638888,42.162,40.49
69,2.237146158023756,2.5597935384114585,42.094,40.42
70,2.244870351363201,2.5694830729166664,42.09,40.41
71,2.2529572106186224,2.579307427300347,42.0,40.26
72,2.2606632154815047,2.588277316623264,41.926,40.16
73,2.269040567203444,2.598904758029514,41.89,40.1
74,2.276912343550702,2.608573404947917,41.804,40.08
75,2.2859463538345026,2.619822075737847,41.818,40.01
76,2.293465900031887,2.627969590928819,41.714,39.95
77,2.3019841308593754,2.6353343098958337,41.592,39.94
78,2.3095975665656887,2.644500271267361,41.544,39.87
79,2.317186573262117,2.655314019097222,41.45,39.91
80,2.3257176389110334,2.6633266872829857,41.416,39.77
81,2.332315250318878,2.6718667534722225,41.35,39.74
82,2.3410098702566966,2.6807164171006943,41.23,39.6
83,2.3491705745774873,2.6887376844618056,41.122,39.55
84,2.356123998525191,2.6974539388020835,41.078,39.5
85,2.3635400888871176,2.7059067654079865,41.002,39.38
86,2.3719065240353943,2.7148249782986116,40.968,39.21
87,2.3794067332987883,2.7236833767361115,40.92,39.18
88,2.387104258011798,2.730001302083333,40.846,38.95
89,2.394438596141581,2.740313530815972,40.79,38.82
90,2.4018880689971294,2.7461194390190964,40.748,38.91
91,2.4095454251036355,2.7545654296874997,40.678,38.71
92,2.4175468600526155,2.763001274956597,40.592,38.69
93,2.42481632154815,2.772824055989583,40.532,38.66
94,2.432627790178572,2.7808567979600696,40.464,38.62
95,2.4399208635602685,2.7885980360243057,40.402,38.5
96,2.447391521843112,2.7951521809895836,40.376,38.53
97,2.454405980947066,2.803491970486111,40.296,38.38
