epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.3444570312499997,2.3611985405815967,13.676,22.59
1,2.083804465780452,2.1720107150607637,24.344,25.54
2,2.003730376574458,2.1499068739149303,27.734,28.6
3,2.000702218191964,2.133644843207465,28.408,29.89
4,1.9723342135682402,2.1005284559461805,29.21,29.9
5,1.9382035485092473,2.0882733968098957,30.204,30.89
6,1.9048704485212058,2.058292792426215,31.566,31.39
7,1.8818888338050062,2.046612087673611,32.302,32.09
8,1.8672580690967793,2.023500027126736,32.934,33.01
9,1.8646582654057717,1.999982828776042,33.326,34.12
10,1.8590468849649238,1.9943391248914928,33.77,34.8
11,1.8438640560227997,1.982737833658854,34.522,35.08
12,1.833136813416773,1.9744972059461807,34.964,35.55
13,1.8244265435666458,1.9680933973524306,35.446,35.92
14,1.8150905238560269,1.968760728624132,35.902,36.16
15,1.8082558643574613,1.9620123969184031,36.274,36.39
16,1.80195964704241,1.9553755425347221,36.784,36.72
17,1.7962266746053892,1.9532840711805557,37.082,37.1
18,1.7919173758370532,1.9510745713975695,37.454,37.21
19,1.7883480249521675,1.949144083658854,37.708,37.62
20,1.7855017040019132,1.948216105143229,37.9,37.92
21,1.7833457130899237,1.948515570746528,38.096,38.02
22,1.7812373819156568,1.947765909830729,38.268,38.09
23,1.7789400136519455,1.9457405870225695,38.508,38.22
24,1.7769591463050065,1.9432672932942705,38.688,38.58
25,1.7762364800900827,1.9442371419270832,38.914,38.66
26,1.775719569614955,1.9442036404079863,39.092,38.81
27,1.7750701754823022,1.9439700520833334,39.126,39.01
28,1.7742819126674108,1.9429030083550347,39.336,38.91
29,1.7739436882174742,1.9420345458984376,39.446,39.05
30,1.7730179667570152,1.9415841335720485,39.598,39.15
31,1.7725652353714925,1.9417699517144098,39.816,39.28
32,1.7721159244459503,1.9415333658854168,39.948,39.55
33,1.7718474046356825,1.9421474745008682,40.064,39.61
34,1.7715909797512752,1.9433270670572915,40.144,39.63
35,1.7711738057039224,1.9437482638888888,40.342,39.54
36,1.771000209263393,1.945065456814236,40.46,39.76
37,1.7708449432995852,1.9460467800564234,40.596,39.84
38,1.7712938481544955,1.946618693033854,40.69,39.99
39,1.771600473832111,1.9477590603298611,40.78,40.06
40,1.7721533776108098,1.9489809705946182,40.884,40.23
41,1.7725942656847897,1.9485914442274306,40.926,40.35
42,1.772863988759566,1.9496280517578124,41.018,40.47
43,1.7729261748644776,1.9509148356119796,41.136,40.63
44,1.7735007498604909,1.952665757921007,41.17,40.79
45,1.774384857800542,1.9535837402343748,41.276,40.88
46,1.775667007134885,1.9549866672092016,41.388,40.9
47,1.776765213946907,1.9564752875434028,41.496,40.97
48,1.7779302555006382,1.9585753038194444,41.578,40.96
49,1.779113495495854,1.9599727918836807,41.624,41.04
50,1.780613012197066,1.9627443305121528,41.716,41.09
51,1.7825696224290493,1.964791965060764,41.764,41.05
52,1.7838804084622126,1.967476820203993,41.828,41.05
53,1.7857606400470347,1.9698211263020835,41.926,41.06
54,1.7880036172672191,1.9728865966796876,42.012,41.05
55,1.7901916927415498,1.9763318549262148,42.08,40.97
56,1.7926375408561865,1.9786818983289929,42.19,40.96
57,1.7947854327766262,1.982308146158854,42.264,40.84
58,1.797048454440369,1.9852801920572913,42.262,40.89
59,1.799368017079879,1.9887170952690976,42.296,40.95
60,1.8015486338089917,1.9924908582899308,42.38,40.92
61,1.8036730907206637,1.9953559977213544,42.424,41.01
62,1.8059443483936546,1.9989745144314237,42.438,41.11
63,1.80856198182398,2.0028192952473955,42.5,41.18
64,1.8111000777264032,2.006484809027778,42.52,41.26
65,1.8139744200414545,2.0103465711805555,42.568,41.3
66,1.8165433648557086,2.013978949652778,42.582,41.3
67,1.8192827571946744,2.018412773980034,42.61,41.29
68,1.8223439542809305,2.0224423149956596,42.668,41.3
69,1.8253696388711738,2.02646644422743,42.716,41.33
70,1.8284677709462689,2.031080837673611,42.728,41.3
71,1.8314200514190055,2.0350309787326393,42.728,41.24
72,1.8345421092753513,2.0390325520833334,42.698,41.21
73,1.8377137002750323,2.043459594726562,42.698,41.23
74,1.8409017882055159,2.0476681722005208,42.668,41.25
75,1.8442943688217477,2.05276611328125,42.67,41.33
76,1.8475548593949296,2.056710422092014,42.708,41.35
77,1.8509217130699938,2.0611231418185763,42.73,41.32
78,1.8541248505261478,2.0651739773220483,42.752,41.31
79,1.8572767309072058,2.0691054009331595,42.784,41.35
80,1.8607200180365115,2.074182807074653,42.766,41.27
81,1.8639120321468428,2.0786700439453125,42.802,41.26
82,1.867271529217155,2.0824318712022567,42.774,41.19
83,1.8705904541015619,2.0864391547309027,42.796,41.16
84,1.8740122867506375,2.0915121934678824,42.824,41.1
85,1.8775580431879781,2.095931952582465,42.772,41.11
86,1.880991666832749,2.100168294270833,42.816,41.19
87,1.884334435287787,2.105261271158854,42.794,41.24
88,1.8879630675023915,2.10940764702691,42.81,41.4
89,1.8912730912189097,2.1137538248697916,42.82,41.37
90,1.894673063317124,2.117638495551215,42.826,41.37
91,1.8982452766262754,2.1230170627170137,42.834,41.34
92,1.901828633211097,2.1270987548828124,42.832,41.39
93,1.905219719088808,2.1314400499131945,42.83,41.33
94,1.908655168805804,2.1364544542100696,42.782,41.39
95,1.9123813725685592,2.1409035508897567,42.77,41.38
96,1.9159377017897004,2.1452559814453127,42.768,41.32
97,1.9195907480668049,2.149541517469618,42.784,41.42
98,1.9229846216318567,2.153303941514757,42.772,41.37
99,1.926524822624362,2.1574047037760415,42.786,41.42
100,1.9298402498206313,2.161950018988715,42.736,41.4
101,1.9333593749999998,2.166013007269965,42.736,41.39
102,1.936774244658801,2.1701645914713543,42.738,41.31
103,1.940398900868941,2.1742252061631944,42.782,41.28
104,1.9438934699856503,2.1778455810546875,42.73,41.25
105,1.9474566251793688,2.18257470703125,42.722,41.23
106,1.9509183150310905,2.186465521918403,42.724,41.17
107,1.9544058339644448,2.1899142930772575,42.716,41.11
108,1.9579266058474174,2.1941343180338544,42.726,41.16
109,1.9615626943160074,2.198228529188368,42.748,41.16
110,1.9651070282605227,2.2028412814670135,42.74,41.06
111,1.9686906015824295,2.206706990559896,42.69,41.1
112,1.971929936623087,2.2108055284288195,42.642,41.03
113,1.975195880500638,2.2134340684678815,42.664,41.07
114,1.9786689552774233,2.2179160970052085,42.682,41.01
115,1.982252060247927,2.2217059597439235,42.644,41.02
116,1.9857326859454714,2.2257693956163194,42.634,41.01
117,1.9891783372528695,2.229313015407986,42.638,41.0
118,1.9926483229033796,2.2337395833333336,42.604,40.83
119,1.9961752207230548,2.2378533393012154,42.604,40.85
120,1.999558102977519,2.2414909939236107,42.586,40.89
121,2.0031400719467483,2.2453284098307296,42.554,40.87
122,2.006514105349171,2.2497316216362844,42.558,40.81
123,2.0100331458266893,2.253099039713542,42.568,40.89
124,2.0135402358697383,2.2570925564236113,42.5,40.94
125,2.0170481679488197,2.2614622260199653,42.522,40.98
126,2.0205097930285394,2.2658667941623265,42.508,40.89
127,2.024131038743622,2.268998385959202,42.478,40.9
128,2.027831107003348,2.2728215060763883,42.44,40.82
129,2.031340954838967,2.2762392306857637,42.406,40.83
130,2.0347599400111607,2.280202121310764,42.392,40.86
131,2.0382692846181443,2.2843124864366318,42.366,40.93
132,2.0416026910275833,2.2879644775390626,42.356,40.94
133,2.045017764967315,2.2909505208333334,42.352,40.91
134,2.048296446508291,2.2956278347439234,42.322,40.93
135,2.0516219233298787,2.2987652723524303,42.326,40.87
136,2.0549863580197703,2.303640109592014,42.34,40.87
137,2.058478548011001,2.307399522569445,42.324,40.79
138,2.0617713498485326,2.311376695421007,42.304,40.76
139,2.0650459632095015,2.313911783854166,42.308,40.76
140,2.0682977593869576,2.317613104926215,42.26,40.72
141,2.0718510991310586,2.3222530653211804,42.246,40.62
142,2.075365219427615,2.326178914388021,42.218,40.6
143,2.0785766526825573,2.3303518744574654,42.202,40.67
144,2.081973650251116,2.3344581570095486,42.134,40.61
145,2.085270654795121,2.338116726345486,42.126,40.62
146,2.088799799705038,2.3419677191840282,42.098,40.67
147,2.0920940663863203,2.346042195638021,42.08,40.59
148,2.095692442602041,2.350172987196181,42.02,40.59
149,2.098913452148437,2.3538040228949653,42.022,40.62
150,2.1024536905094076,2.358159505208333,42.002,40.6
151,2.1059893325494263,2.362240912543403,41.956,40.52
152,2.1094067283163267,2.3656897515190973,41.938,40.57
153,2.1129839813855216,2.3702859700520835,41.956,40.54
154,2.116222730986926,2.3743704969618054,41.95,40.51
155,2.1195610326650187,2.377323187934028,41.952,40.29
156,2.1229200040856187,2.3815167100694445,41.904,40.34
157,2.1264497493821755,2.384387559678819,41.924,40.33
158,2.1297431590800393,2.388396077473958,41.912,40.31
159,2.1331199951171875,2.392961398654514,41.914,40.23
160,2.1367492675781254,2.397155734592014,41.914,40.18
161,2.1401157400948665,2.3999769422743054,41.874,40.23
162,2.1434736228475764,2.404407253689236,41.862,40.22
163,2.1469210703324295,2.4084934895833334,41.888,40.23
164,2.1500905512595674,2.412246310763889,41.88,40.17
165,2.1535122917330995,2.415568332248264,41.892,40.23
166,2.156693939831792,2.418439887152778,41.884,40.2
167,2.1599877082669003,2.4225262044270837,41.81,40.21
168,2.163452300402583,2.4265591362847223,41.818,40.15
169,2.16679325773278,2.430667670355903,41.788,40.23
170,2.170063603615274,2.4347966037326394,41.752,40.18
171,2.1733178536551345,2.437594645182292,41.722,40.19
172,2.1766079350685583,2.440762641059028,41.646,40.09
173,2.1800801752830035,2.444781656901042,41.62,40.08
174,2.183373405612245,2.447999945746528,41.586,40.06
175,2.18679701700016,2.452437147352431,41.54,39.93
176,2.1900841463050065,2.4566963161892357,41.52,39.97
177,2.193433396942761,2.460241319444444,41.516,39.86
178,2.196799368722099,2.463735432942708,41.508,39.91
179,2.200032774633291,2.46692613389757,41.482,39.82
180,2.2034387057557394,2.4703455674913197,41.446,39.83
181,2.206587733677455,2.473015597873264,41.444,39.77
182,2.2099387231943552,2.4787190755208335,41.414,39.68
183,2.2132226986009247,2.48140966796875,41.384,39.57
184,2.21612838807398,2.4845999891493054,41.372,39.59
