epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.3551732352120536,2.39151136610243,12.796,21.14
1,2.094279538524394,2.1974711914062497,23.208,23.96
2,2.018394568618463,2.1601298556857635,26.206,27.14
3,2.0048379005899237,2.162122639973958,27.292,28.4
4,1.98688088677854,2.1564978027343753,28.406,28.04
5,1.9609637799944197,2.0930257432725696,29.442,30.25
6,1.933521584024235,2.0651502414279514,30.412,30.99
7,1.9100577068718112,2.062652981228299,31.468,31.95
8,1.8998354666573667,2.059009033203125,32.148,32.54
9,1.8879438152702492,2.0489000651041667,32.868,33.04
10,1.8770846046914857,2.0414900580512154,33.272,33.03
11,1.8679244883011794,2.0374455159505205,33.662,33.56
12,1.8603437101403064,2.0368426920572915,33.898,33.85
13,1.8543400231186222,2.034277859157986,34.362,34.14
14,1.848747952208228,2.024923285590278,34.696,34.65
15,1.84454405990912,2.0192712809244795,34.996,35.03
16,1.840993041992188,2.0162069498697917,35.09,34.9
17,1.8386175586933993,2.010794311523438,35.376,35.43
18,1.8367839953364162,2.0058678521050353,35.586,35.58
19,1.8355791339485017,2.004688666449653,35.838,35.71
20,1.8342842693718109,2.005523749457465,36.066,35.76
21,1.8335266810825896,2.0057825927734374,36.222,35.82
22,1.832750568000637,2.0074146050347226,36.402,35.96
23,1.8334802819076848,2.0095893690321183,36.604,36.12
24,1.8347519082828445,2.0119766438802085,36.862,36.34
25,1.8324276870416136,1.9952514648437503,36.814,36.95
26,1.8273267124720984,1.9950816786024308,37.018,36.99
27,1.8273874586455672,1.9950853949652776,37.03,37.05
28,1.8274368497887432,1.9952208930121529,37.048,37.1
29,1.8275863909040186,1.995453898111979,37.074,37.06
30,1.8278227389588646,1.9957819417317708,37.132,37.09
31,1.828061971859056,1.9960715874565973,37.176,37.11
32,1.8282777348732462,1.9962655300564234,37.172,37.09
33,1.8285238485530928,1.9964996337890624,37.208,37.06
34,1.8287338892099807,1.996805677625868,37.218,37.05
35,1.8290413918008606,1.997130601671007,37.232,37.04
36,1.8293194854113521,1.9972348632812502,37.258,37.08
37,1.8296106554926659,1.997601372612847,37.28,37.11
38,1.8292074024433997,1.9973969048394098,37.236,37.06
39,1.8291739327566963,1.9972993977864582,37.254,37.08
40,1.8291598622847585,1.9974594862196176,37.236,37.05
41,1.829159697863521,1.9973259819878468,37.236,37.05
42,1.8291909055125959,1.9974188503689239,37.252,37.01
43,1.8292866484972887,1.997357137044271,37.23,37.05
44,1.8292455930125953,1.9976028781467017,37.244,37.07
45,1.8293227588887118,1.9973084716796876,37.236,37.02
46,1.8292821343869576,1.9975563015407982,37.24,37.03
47,1.829391848194356,1.9974726019965279,37.246,37.05
48,1.829357060646524,1.997563449435764,37.268,37.01
49,1.829407465720663,1.9975598822699654,37.262,37.02
