epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.3391665088887117,2.3538289930555556,14.014,22.7
1,2.0836916055484687,2.178992133246528,24.962,28.0
2,1.992702422472895,2.117220458984375,29.182,30.25
3,1.958758221061862,2.0701634521484373,31.178,33.16
4,1.9096967873086736,2.0288346625434026,32.598,33.53
5,1.8801137944435595,2.006569091796875,33.362,34.4
6,1.8652762376434955,1.991419067382813,34.336,35.23
7,1.8407095299545602,1.9793316921657984,35.52,36.45
8,1.8262722740951849,1.9746651882595485,36.578,37.0
9,1.8148491310586727,1.9685551486545139,37.162,37.22
10,1.8088373475366712,1.9650831570095488,37.718,37.53
11,1.8036253437898593,1.960255655924479,38.188,38.01
12,1.799474205795599,1.958758327907986,38.532,38.21
13,1.796719806281888,1.9580343017578126,38.752,38.58
14,1.7939409279336738,1.9539815945095487,39.16,39.02
15,1.7909421660754141,1.9512414957682291,39.354,39.26
16,1.7876229497169962,1.9494474148220482,39.62,39.39
17,1.7841120929328769,1.9491732177734375,39.93,39.52
18,1.780138138751595,1.9454663899739582,40.058,39.75
19,1.7763779421436539,1.940685574001736,40.272,39.93
20,1.7723340142697699,1.9410388183593748,40.482,39.85
21,1.7682326585419321,1.9362789984809028,40.74,39.82
22,1.7630084353077167,1.9248496365017358,40.902,40.23
23,1.75607780861368,1.915313557942708,41.042,40.56
24,1.7510763911033158,1.9084737006293402,41.212,40.66
25,1.7351980204679531,1.901222927517361,41.846,40.9
26,1.7343252376634242,1.9020215386284722,41.902,40.98
27,1.7345521140585132,1.9020429687500002,41.886,41.01
28,1.7345841587611612,1.902056844075521,41.922,41.02
29,1.7346312480070152,1.9024127197265623,41.994,41.06
30,1.7345212128308352,1.9023055419921873,41.978,41.11
31,1.7344026576450897,1.90231403266059,41.99,41.13
32,1.7341939398317918,1.9019949273003478,42.006,41.11
33,1.733908053651148,1.9018236219618052,42.034,41.21
34,1.7336257598254148,1.901530544704861,42.024,41.16
35,1.7332221455476722,1.901443155924479,42.014,41.17
36,1.732887269312022,1.9008785942925346,42.03,41.15
37,1.7325177325813141,1.9007777777777777,42.048,41.18
38,1.7319604691485975,1.899862046983507,42.122,41.46
39,1.7309694076849487,1.8998213161892363,42.092,41.54
40,1.730876153439891,1.899580552842882,42.096,41.49
41,1.7307236477598857,1.8993735622829861,42.092,41.56
42,1.7306500568000642,1.8993502604166668,42.09,41.55
43,1.7305848313934946,1.8993634847005205,42.084,41.5
44,1.7305306296835143,1.8991993272569445,42.086,41.55
45,1.7304430828483734,1.8992844102647568,42.094,41.52
46,1.7304224529655614,1.8992840033637153,42.08,41.52
47,1.7303516721141587,1.8990874565972224,42.08,41.54
48,1.730351283482143,1.899039876302083,42.112,41.55
49,1.730193077865912,1.8991649034288196,42.09,41.56
