epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.0168379899364406,1.7204249131944447,47.72833333333333,61.42
1,1.251910630048332,1.1465573933919275,62.848333333333336,62.81
2,0.967282046560514,1.0278011881510416,64.54,64.9
3,0.9300035679704051,1.0264829711914063,65.915,66.32
4,0.9170162943177307,1.0029893527560763,68.19166666666666,68.72
5,0.9034735572944254,0.9954879353841145,70.38166666666666,70.63
6,0.904734726728019,1.0020689968532985,71.60666666666667,71.69
7,0.9155560447563562,1.0156859266493055,72.31166666666667,72.19
8,0.9294977489406779,1.0304268663194442,72.87666666666667,72.71
9,0.9429267257431804,1.043657240125868,73.17,72.92
10,0.9546943411099708,1.055009019639757,73.51,73.23
11,0.9644602092161014,1.0642190687391495,73.765,73.38
12,0.9722035191422803,1.0713080376519097,74.04166666666667,73.64
13,0.97816682356495,1.0767595011393227,74.29,73.94
14,0.9826492433709615,1.0808836059570315,74.51333333333334,74.18
15,0.9859194842839644,1.0837212999131944,74.755,74.46
16,0.9881844906564488,1.0855718587239584,74.96166666666667,74.65
17,0.9896087346481065,1.086741651746962,75.13,74.73
18,0.9903568880760062,1.087346896701389,75.29666666666667,74.93
19,0.9905335465770656,1.0873935818142362,75.46166666666667,75.04
20,0.9902584507829053,1.0870732828776042,75.59833333333333,75.18
21,0.9895877882100768,1.0863470933702257,75.74,75.32
22,0.9885965907210011,1.085544148763021,75.87833333333333,75.5
23,0.987350835250596,1.0844224582248263,75.99666666666667,75.62
24,0.9858759351827328,1.0830966050889757,76.11666666666666,75.77
25,0.9842189475883873,1.081532897949219,76.24,75.96
26,0.98242642573987,1.0798374905056423,76.36166666666666,76.02
27,0.9805655693442137,1.0781168551974827,76.46833333333333,76.14
28,0.9785957351943194,1.0763238050672745,76.585,76.24
29,0.97657349253509,1.0744537896050348,76.68833333333333,76.39
30,0.9744973175566076,1.0725811021592881,76.81833333333333,76.47
31,0.9723961823027012,1.0708988308376737,76.92833333333333,76.5
32,0.970312416205972,1.069086615668403,77.03833333333333,76.56
33,0.9682314163466632,1.0672447509765624,77.12666666666667,76.63
34,0.9661590555481993,1.0655142415364585,77.23333333333333,76.71
35,0.9640961107157042,1.0637530110677083,77.33,76.82
36,0.9620233237056407,1.061991658528646,77.43333333333334,77.02
37,0.9599697969081039,1.060294942220052,77.56166666666667,77.08
38,0.9579463387182208,1.0586697523328994,77.65666666666667,77.11
39,0.9559281771385068,1.05684326171875,77.77,77.2
40,0.9539458618164062,1.055127848307292,77.87166666666667,77.31
41,0.9519960399563033,1.053596910264757,77.97666666666667,77.44
42,0.9500855930134399,1.0520820651584202,78.08333333333333,77.53
43,0.9482147868528202,1.050753221299913,78.17666666666666,77.66
44,0.9463780155505163,1.0492638075086809,78.245,77.83
45,0.9446032011387713,1.0478612263997396,78.34833333333333,77.93
46,0.9428895791263904,1.0465162150065102,78.45,78.04
47,0.9412288652840307,1.045210917154948,78.54833333333333,78.08
48,0.9396286341780324,1.0439831068250869,78.64,78.23
49,0.9380748135841498,1.0429630872938367,78.74,78.3
50,0.9365876754502122,1.0418403998480903,78.83833333333334,78.36
51,0.9351586686473782,1.0407254706488713,78.95833333333333,78.3
52,0.9337631535934189,1.0398948771158851,79.03166666666667,78.36
53,0.9324644578836734,1.0389642266167536,79.12333333333333,78.46
54,0.9312245690297272,1.0381604478624131,79.24333333333334,78.52
55,0.9300812998626191,1.0374610934787325,79.33166666666666,78.6
