epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.093272094726562,1.7164469265407987,29.351666666666667,64.76
1,1.4901820813195175,1.7187564290364585,59.45666666666666,69.36
2,1.4577501675880562,1.6885329996744791,61.82,69.87
3,1.4503261698060113,1.6755581054687498,62.37,69.52
4,1.4527644601595608,1.6892320556640625,62.155,68.53
5,1.4576951324980134,1.7361632351345486,61.48166666666667,67.29
6,1.4665590634103547,1.6871543646918403,60.833333333333336,67.18
7,1.46451030356197,1.7517374131944445,60.86666666666667,67.11
8,1.4623562528965843,1.708723090277778,60.958333333333336,63.5
9,1.45939599609375,1.7397908528645831,60.735,66.42
10,1.4599468352754246,1.7314447292751738,60.916666666666664,66.62
11,1.455885260113215,1.6907821587456597,61.181666666666665,64.01
12,1.4531676501257949,1.763296590169271,61.13333333333333,66.17
13,1.4561447381488346,1.6778110080295139,60.92,64.04
14,1.4535565495895126,1.7234341905381945,61.03333333333333,66.81
15,1.4528741641287075,1.6838974338107637,61.38666666666666,63.97
16,1.4515496122715836,1.7031868625217015,61.19,66.98
17,1.4520460991293693,1.6830026177300348,61.425,64.02
18,1.4509756418001853,1.6831869439019096,61.10333333333333,66.99
19,1.4530698035288656,1.6749010145399303,61.095,64.01
20,1.4505879216598252,1.6849867757161459,61.10166666666667,66.85
21,1.4529584029892753,1.6740264485677083,61.04333333333334,64.02
22,1.4499775763042904,1.6814244791666668,61.12166666666667,67.09
23,1.455392774678893,1.6854889594184028,61.49,64.25
24,1.4473723103151481,1.7365306260850693,61.446666666666665,67.28
25,1.4555396997484116,1.687060248480903,61.428333333333335,63.93
26,1.4478043812897248,1.7404421251085072,61.305,67.19
27,1.4551623245497876,1.6874465060763886,61.38,63.88
28,1.4479738852290789,1.7499107666015625,61.32333333333333,66.73
29,1.4571263469114142,1.6865111083984372,61.196666666666665,63.89
30,1.4478006591796868,1.7480365532769095,61.38666666666666,66.45
31,1.4516439498642744,1.6999203559027778,61.858333333333334,68.48
32,1.4579281026549258,1.7091535508897568,61.325,67.37
33,1.4458981850834216,1.7337407633463542,62.015,67.75
34,1.4512864659196243,1.6944515787760417,61.46333333333333,63.73
35,1.4475068442134535,1.7378218180338538,61.38666666666666,67.16
36,1.456047477075609,1.6801897379557293,61.28333333333333,63.96
37,1.4475369935116529,1.748549791124132,61.42166666666667,66.65
38,1.4594835536116257,1.674885932074653,61.18,64.13
39,1.4470815595206568,1.7421290418836806,61.385,67.08
40,1.4558988823324948,1.6822704128689236,61.25666666666667,63.94
41,1.447455762960143,1.745564778645833,61.41833333333334,66.59
42,1.4508619612354345,1.7383668348524308,61.791666666666664,66.9
43,1.459568907656912,1.7025907389322914,61.16833333333334,67.71
44,1.4522337625794497,1.6855193006727431,61.89666666666667,64.01
45,1.4464265902244442,1.6671669921874999,61.556666666666665,67.3
46,1.4554395255395924,1.7083722466362847,61.36,67.56
47,1.454323343567929,1.6707499050564236,61.291666666666664,63.88
48,1.449281465174788,1.679889879014757,61.15,67.29
49,1.4523101372153069,1.6725926378038194,61.115,64.05
50,1.4484070672503973,1.6754640299479169,61.33166666666666,67.32
51,1.4501456588486497,1.7193915066189236,61.79833333333333,67.75
52,1.4546825406349313,1.6783980170355903,61.32,63.98
53,1.4470854802535749,1.7454116753472226,61.48,66.61
54,1.4584609871557204,1.705526055230035,61.38666666666666,67.55
55,1.455158331402278,1.678966349283854,61.395,63.95
56,1.4474653113413662,1.7435870090060765,61.428333333333335,66.53
57,1.4501904152045817,1.7212259521484374,61.78666666666667,67.88
58,1.4505552502648305,1.6896209038628471,61.24666666666667,64.53
59,1.4477394171246027,1.7454449869791668,61.486666666666665,66.46
60,1.4522900080276744,1.6782175699869792,61.943333333333335,68.79
61,1.4553432058560647,1.674693332248264,61.85666666666667,65.47
62,1.4460530943789727,1.7475646837022571,61.666666666666664,66.68
63,1.4606700873940677,1.6711178385416667,61.17333333333333,65.38
64,1.4459819087658896,1.7430316026475696,61.61,66.51
65,1.458857374288268,1.7091993543836805,61.27166666666667,67.38
66,1.4577333074020127,1.6744434950086806,61.38,64.26
67,1.4473909974179018,1.701647515190972,61.42,67.59
68,1.4543926132978022,1.6841009792751735,61.41,64.06
69,1.4464543146682993,1.736410196940104,61.57333333333333,67.17
70,1.4560530343783105,1.6805139973958334,61.27166666666667,63.93
71,1.4474899778204446,1.7456450873480902,61.458333333333336,66.58
72,1.452009225619041,1.6221836615668404,62.09166666666667,68.33
73,1.454097085209216,1.736273247612847,61.19833333333333,67.52
74,1.4544196094577595,1.6781348470052084,61.365,63.92
75,1.4476521451271185,1.7455416802300345,61.461666666666666,66.6
76,1.455982779809984,1.71932024468316,61.815,67.15
77,1.4567986874337924,1.674811469184028,61.46333333333333,65.18
78,1.4480119856494973,1.736295925564236,61.45666666666666,67.65
79,1.4556195958024367,1.6795140652126734,61.32,63.94
80,1.4475254216598255,1.7480879584418403,61.45333333333333,66.54
81,1.460880906961732,1.6717782931857639,61.20333333333333,65.28
82,1.4460989679886123,1.7410018717447917,61.595,66.49
83,1.4606908372782046,1.69836370171441,61.05,67.83
84,1.453357483944651,1.685594482421875,61.49666666666667,63.98
85,1.4466116922669492,1.7454247639973959,61.531666666666666,66.8
86,1.4572816265558792,1.680433119032118,61.155,63.91
87,1.4475302113678492,1.7435548231336806,61.42333333333333,66.58
88,1.4511220703125,1.7475131835937499,62.038333333333334,66.95
89,1.4548666950807736,1.6818989529079862,61.35333333333333,63.98
90,1.4470886333918174,1.7437703179253472,61.468333333333334,66.55
91,1.4493274794756352,1.7378610026041668,61.89833333333333,67.59
92,1.4567804513704976,1.683253173828125,61.303333333333335,63.83
93,1.447032303115069,1.7557045898437502,61.565,66.3
94,1.461628527625133,1.7031486545138887,61.1,67.66
95,1.4555311237917108,1.6718048095703124,61.218333333333334,64.1
96,1.4464755445577326,1.6686497802734372,61.50333333333333,67.39
97,1.4492222486592956,1.730283596462674,61.85166666666667,67.22
98,1.4549519560215836,1.6864485677083332,61.361666666666665,63.96
99,1.4468050247451008,1.7450116238064235,61.53333333333333,66.58
100,1.4514394138142215,1.662697035047743,61.87833333333333,68.45
101,1.4516869206832632,1.717405042860243,61.98833333333334,67.17
102,1.4580180808891678,1.7006865912543405,61.30166666666667,67.82
103,1.4537551704018798,1.6812372911241318,61.245,64.25
104,1.447066784874868,1.7476123860677084,61.50333333333333,66.56
105,1.4623214463056147,1.6781415608723957,61.18833333333333,64.44
106,1.4456868234408102,1.7309696994357642,61.65833333333333,67.21
107,1.4562637525655455,1.6797676866319444,61.34166666666667,63.92
108,1.4474093224476956,1.7457518174913196,61.455,66.59
109,1.4583879187632418,1.7066278211805552,61.401666666666664,67.53
110,1.457568100751457,1.6758990885416667,61.32666666666667,64.29
111,1.446155476198358,1.6690649820963541,61.583333333333336,67.34
112,1.4481960180250266,1.7398781195746527,61.50666666666667,67.32
113,1.4553105965307205,1.6826903754340279,61.31666666666667,63.97
114,1.446678137827728,1.7463513183593748,61.52333333333333,66.68
115,1.4579631430415785,1.7078678249782984,61.38333333333333,67.55
116,1.4546268765724308,1.6738990207248263,61.233333333333334,64.15
117,1.446994670286017,1.7275201822916666,61.4,67.45
118,1.4556602803893002,1.6787601047092013,61.446666666666665,64.06
119,1.4466915614241258,1.7452613118489584,61.465,66.6
120,1.4488491024728545,1.7335048149956598,62.056666666666665,67.51
121,1.4602387736692268,1.701299126519097,61.21,67.55
122,1.4542271935414457,1.674369344075521,61.57833333333333,64.17
123,1.4463985761222196,1.7475990939670139,61.45166666666667,66.83
124,1.4568155827926377,1.6802840711805556,61.23166666666667,63.89
125,1.4467433895822295,1.7502325168185766,61.48,66.5
126,1.461063735186043,1.698923624674479,61.07,67.93
127,1.453158050019862,1.6840307345920138,61.538333333333334,63.97
128,1.4463471493478546,1.7477002766927083,61.545,66.7
129,1.4617794230832895,1.67620263671875,61.09166666666667,64.66
130,1.4454606809454447,1.7419613715277775,61.678333333333335,66.56
131,1.4594139569815947,1.709235107421875,61.22,67.4
132,1.4546021521616785,1.6690553114149307,61.225,64.34
133,1.4460331534692796,1.7502661268446178,61.45666666666666,66.8
134,1.4565320300086073,1.6840946316189238,61.221666666666664,63.82
135,1.446418558411679,1.7566294352213543,61.56,66.49
136,1.461354498394465,1.698331976996528,61.056666666666665,67.93
137,1.4528855456336076,1.6856682942708332,61.54333333333334,63.97
138,1.4464066141419494,1.7468773464626737,61.53666666666667,66.68
139,1.4556520602985963,1.6797420111762154,62.038333333333334,66.14
140,1.4466077053264035,1.6762340630425347,61.681666666666665,67.62
141,1.44914401814089,1.7236143391927081,61.75,67.94
142,1.4541281965869968,1.6779444851345486,61.38166666666667,64.01
143,1.4465565454515361,1.746901394314236,61.48166666666667,66.66
144,1.4492100726628707,1.6805516221788193,61.89666666666667,68.02
145,1.4512499648271977,1.6772601860894099,61.225,64.14
146,1.4482778941009007,1.7451977539062502,61.333333333333336,66.56
147,1.4489252060712392,1.7380892740885419,61.945,67.68
148,1.4558481610831566,1.686987141927083,61.29333333333334,63.85
149,1.445986160536944,1.7551093885633682,61.641666666666666,66.46
150,1.4610517205707094,1.6958896348741321,61.085,67.96
151,1.453025411314883,1.6829402940538192,61.538333333333334,63.97
152,1.4462531986559846,1.747919257269965,61.541666666666664,66.76
153,1.462069669044624,1.6771869981553817,61.16,64.54
154,1.4453132944915261,1.7411139729817706,61.71333333333333,66.91
155,1.4556645756091102,1.6786306559244792,61.225,63.92
156,1.44722577421544,1.747225111219618,61.42166666666667,66.54
157,1.460000167588057,1.7098206787109373,61.205,67.41
158,1.4539302688857254,1.6777972954644096,61.236666666666665,64.25
159,1.4460411066604872,1.7479361029730904,61.56166666666667,66.47
160,1.461036196951139,1.6963877631293403,61.09166666666667,67.96
161,1.4530764284295554,1.6842107340494792,61.54333333333334,63.95
162,1.4462439895888508,1.746365492078993,61.54333333333334,66.69
163,1.455806729591499,1.6878825005425346,61.645,68.4
164,1.4580141415353551,1.6706236300998263,61.225,65.63
165,1.4454146066439353,1.7432039252387153,61.74166666666667,66.57
166,1.4593168572894595,1.7090337863498266,61.23833333333334,67.41
167,1.4542792141154657,1.6727774386935765,61.163333333333334,64.34
168,1.446002286232124,1.7457192654079863,61.485,66.62
169,1.454625885527012,1.732565945095486,61.68833333333333,67.17
170,1.4567723657640357,1.704640055338542,61.36,67.58
171,1.4500352969412074,1.7240872124565971,62.04833333333333,68.46
172,1.4529827218783105,1.6801545545789933,61.501666666666665,64.04
173,1.446328669143935,1.74524163140191,61.486666666666665,66.6
174,1.4590767305018537,1.7094491102430556,61.32333333333333,67.28
175,1.4530078662936976,1.6781721055772572,61.56666666666667,64.21
176,1.4475336479574956,1.745705105251736,61.401666666666664,66.8
177,1.4521537713519597,1.6773169894748263,61.19833333333333,64.04
178,1.4488109130859377,1.741974826388889,61.30833333333333,66.87
179,1.4561764516022244,1.6814870062934026,61.276666666666664,63.99
