epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2697391681281887,2.2481237521701387,16.216,23.59
1,2.0125048205317277,2.1640403645833333,29.034,29.76
2,1.9362587193080354,2.0499589436848957,32.608,34.86
3,1.88251628517618,2.052368069118924,35.666,37.73
4,1.8777320830676012,2.0145940212673614,36.62,39.39
5,1.8695549690090882,2.0754510091145835,37.912,39.48
6,1.8683026994977683,2.04874127875434,38.246,38.38
7,1.8695523158482144,2.2824622395833334,38.882,35.3
8,1.8592710509008288,1.9897987467447917,38.338,39.9
9,1.8313764299665183,2.0260254448784725,39.084,39.07
10,1.837259665975765,2.0279823811848963,39.186,39.07
11,1.8362258300781253,1.9189403347439236,39.49,41.56
12,1.826591064453125,1.9622834743923607,39.888,40.65
13,1.8562995356345662,1.9691185574001737,39.714,40.2
14,1.8367552515146681,2.1557405734592012,39.902,36.33
15,1.8240713089923468,1.9793423665364582,40.314,40.08
16,1.837418479452328,2.2878613552517364,40.792,34.98
17,1.8366732875279015,1.9693691406249998,40.616,40.84
18,1.8271594063895091,2.0282737358940977,40.71,38.94
19,1.8260017089843754,2.1229323866102434,40.646,37.63
20,1.8337009302256055,2.1057008463541664,40.292,39.01
21,1.8204133101482785,2.0762638481987845,40.9,38.65
22,1.8207787388392858,1.9905694444444444,40.812,39.83
23,1.791414595623405,2.0546239013671874,41.58,38.92
24,1.7857265126753825,2.062093180338542,41.396,38.75
25,1.7206923653738841,1.836801703559028,43.172,44.43
26,1.702395694654815,1.8396948784722222,43.964,44.58
27,1.7059257164779975,1.8412912055121526,44.09,44.38
28,1.7087418088329085,1.842389485677083,44.124,44.42
29,1.7116212008729275,1.842378607855903,44.108,44.57
30,1.7136390480508605,1.843067626953125,44.056,44.5
31,1.7155366186025187,1.843112141927083,44.07,44.66
32,1.7164410300741388,1.8449606526692708,44.094,44.81
33,1.7169554293885527,1.8466522081163192,44.008,44.88
34,1.7179752471301022,1.8480478379991316,44.022,44.69
35,1.7201291055484695,1.8495030653211804,44.014,44.89
36,1.7220048130580359,1.8517694091796872,43.938,44.91
37,1.7240358811981822,1.8533700493706595,43.994,45.05
38,1.7190464440170596,1.8477850341796875,44.018,44.93
39,1.7177428451849495,1.84658831108941,44.072,44.99
40,1.7173424421037946,1.8465482991536457,44.104,44.98
41,1.717470299545599,1.8467580837673612,44.102,44.96
42,1.717698797731983,1.8470021565755212,44.1,44.95
43,1.7180124985052612,1.8472811821831598,44.076,44.94
44,1.7183309650031895,1.8476531439887154,44.094,44.95
45,1.7186490279217157,1.8480299479166666,44.102,44.97
46,1.7189880744778379,1.8483966335720485,44.104,45.01
47,1.7193188725685589,1.8488981933593749,44.122,45.03
48,1.7196770069355867,1.849262179904514,44.11,45.01
49,1.7200278270487888,1.8497732340494792,44.068,45.03
