epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2613737319634892,2.228429660373264,16.49,24.28
1,2.0191474185865745,2.0871012234157984,28.68,31.87
2,1.886865605568399,1.9359854329427084,34.332,38.87
3,1.8481627471301016,1.9428400200737848,36.974,39.22
4,1.812670731525032,1.9495988905164932,38.482,40.36
5,1.8294805883290821,1.962990519205729,38.92,40.82
6,1.831225431481185,1.93521100531684,39.476,41.86
7,1.8135213274274555,1.9859022216796873,40.4,41.99
8,1.8045348348812182,1.9265721299913194,40.876,42.68
9,1.7988545669244258,1.9637451578776042,41.454,42.7
10,1.7941227578922188,1.8928152669270832,41.628,43.94
11,1.7970640296157525,1.925644775390625,41.854,43.43
12,1.8144099096181439,1.8854788140190972,41.736,44.32
13,1.8147628622249679,1.9136222873263888,42.316,44.25
14,1.8111887954400507,1.9670619167751735,42.57,43.32
15,1.786811134805485,1.8854385172526043,43.348,45.86
16,1.7948000861965887,1.9777200792100693,43.476,44.08
17,1.7676245490872133,1.9156369222005207,44.166,45.03
18,1.7672551717952811,1.9724954698350696,44.678,44.57
19,1.758387289241868,1.909102023654514,44.89,44.98
20,1.7519062126315368,2.0481026611328126,45.2,42.66
21,1.7562293975207275,1.8411360948350695,44.602,46.15
22,1.7296731903698979,1.8249841037326386,45.624,46.94
23,1.731717247787787,1.8660148111979167,45.956,46.52
24,1.7105125832071109,1.8317005886501738,46.39,47.51
25,1.6320854218152108,1.7748572998046876,48.712,48.9
26,1.624294047452965,1.7843830295138885,49.378,49.01
27,1.6264619813257328,1.7918829888237846,49.534,49.09
28,1.6286271947743938,1.796355414496528,49.668,49.05
29,1.6303127391581629,1.7985793728298611,49.644,49.27
30,1.6320318429129468,1.7983151719835067,49.694,49.3
31,1.6336745181959504,1.7991401231553819,49.626,49.31
32,1.63550192323023,1.7994721001519096,49.686,49.31
33,1.637488759566326,1.80124993218316,49.618,49.41
34,1.639881666533801,1.8016693657769096,49.566,49.33
35,1.6416647849569512,1.8022419569227432,49.526,49.4
36,1.642355810048629,1.8027976616753472,49.444,49.32
37,1.6432902308872768,1.8035846082899307,49.5,49.4
38,1.6389106246014031,1.7836586371527774,49.756,49.94
39,1.631294784857303,1.7842655436197914,49.89,49.8
40,1.6310799635283804,1.7844051242404513,49.91,49.75
41,1.6310100072743943,1.7843811306423614,49.928,49.78
42,1.6309640864158161,1.7844498426649307,49.954,49.81
43,1.6310052241111292,1.784603081597222,49.96,49.76
44,1.6310503677056762,1.7847438693576387,49.976,49.78
45,1.6312186702806126,1.7850007188585069,49.982,49.76
46,1.6313654959542416,1.785273356119792,49.984,49.72
47,1.6315312275789227,1.785469997829861,50.0,49.77
48,1.6316780158840876,1.7856626247829857,49.986,49.8
49,1.6318303073182394,1.7858526475694443,49.998,49.78
