epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2891597377232142,2.2738793674045135,15.654,21.79
1,2.033521065848215,2.2292916666666667,27.578,28.3
2,1.9104875139508937,2.0576067030164933,33.092,35.41
3,1.8867855897241712,1.9974443901909724,36.128,38.78
4,1.842635515485491,1.9735130072699656,38.248,39.83
5,1.8622315823301978,2.009255099826389,38.528,39.34
6,1.8296936682876277,1.956535698784722,39.21,40.41
7,1.8286738505460778,2.0034729003906246,39.792,40.27
8,1.7986536790497447,1.9575447862413198,40.66,42.14
9,1.830353022361288,1.9303197292751737,41.06,42.04
10,1.8264146902901783,1.9600607503255207,41.13,41.65
11,1.8339724320392217,1.9910600992838543,41.102,41.31
12,1.817917266222896,2.2050360649956593,40.744,38.16
13,1.8265166439134235,2.1674566514756943,40.752,40.06
14,1.8040747319435584,1.9970540635850693,41.292,41.95
15,1.8027359992825251,1.9878065321180556,41.702,41.29
16,1.7900382304288902,1.907682359483507,41.874,43.38
17,1.8044447395169003,2.011261732313368,41.762,42.28
18,1.820621656768176,2.048050523546007,41.428,40.8
19,1.8139828653140941,2.046825249565972,41.858,41.43
20,1.8008451450892857,1.9376702338324654,42.31,42.92
21,1.7905756163305164,1.9414224039713541,42.722,43.18
22,1.7980521240234377,1.9117662082248268,42.414,43.88
23,1.7959749631297834,1.9119405110677086,42.808,44.12
24,1.7931685965401791,1.9515848931206596,43.276,43.51
25,1.7832708740234373,1.976266316731771,43.086,42.85
26,1.775174249143016,2.001107896592882,43.454,42.44
27,1.7795352608816963,1.9874704047309026,43.494,43.3
28,1.786899957150829,1.976387342664931,43.392,43.8
29,1.7791470299545595,1.9107919650607639,43.99,44.78
30,1.7678299809669966,1.9593025173611107,44.25,45.34
31,1.7828690036073025,1.9212890082465277,43.704,44.95
32,1.7938601995974164,1.9408182915581595,43.674,45.17
33,1.7718249835578759,1.9210357666015625,43.964,44.37
34,1.797662159199618,1.939048095703125,42.742,44.45
35,1.808770888970823,1.9840898437499999,43.052,43.06
36,1.7899375348772322,1.9090566406250002,43.376,44.96
37,1.7943930564413269,1.9441572401258678,43.252,43.32
38,1.7787805200693556,1.9468858778211806,43.004,43.5
39,1.7795863062021682,1.9180835774739586,43.252,43.63
40,1.7948205117984701,1.9216039089626737,42.748,43.67
41,1.7948772047393173,1.932250542534722,42.542,42.93
42,1.7992079405492667,1.9548832058376735,42.554,42.52
43,1.7943812903579401,2.0163364529079866,42.636,41.59
44,1.7857615842235335,1.956518798828125,42.96,42.98
45,1.770342501893335,1.8906825629340278,43.444,44.54
46,1.77878079161352,1.8979759114583332,43.14,44.4
47,1.7710113550302933,1.8983062472873264,43.684,45.22
48,1.7758892772441015,1.889072048611111,43.528,45.27
49,1.7693192612005744,1.8880356580946183,43.818,44.89
50,1.7537508918606504,1.925283447265625,43.956,44.57
51,1.770863463109853,1.9035795355902776,43.964,44.54
52,1.7693709268375322,1.886135213216146,43.554,43.99
53,1.7607431914660405,1.850390407986111,43.654,44.76
54,1.7539653245575577,1.8643977593315977,43.532,44.64
55,1.7648895786830354,1.8775338134765625,43.34,44.24
56,1.7647864242865123,1.908577419704861,43.256,43.67
57,1.7721769670758925,1.8513824327256942,43.388,44.97
58,1.7713175497249678,1.9099062364366317,43.362,43.91
59,1.736813511439732,1.8613907063802084,44.37,45.54
60,1.7559088184590248,1.875826714409722,44.21,45.0
61,1.7498802739357464,1.8675457899305554,44.454,45.67
62,1.748933798030931,1.8884393174913197,44.496,45.63
63,1.754763455137914,1.912943793402778,44.712,45.07
64,1.78542354163345,1.8804539523654513,44.148,45.14
65,1.7653206886758608,1.9051431613498262,44.042,44.48
66,1.770302706971461,1.89266803656684,43.994,44.58
67,1.7493956323740434,1.886456285264757,44.5,45.49
68,1.7188488246372764,1.8891386854383678,45.12,44.55
69,1.7248606330715874,1.8771046006944445,45.156,45.31
70,1.7448779570910393,1.9248175184461804,44.642,45.09
71,1.771514563735651,1.9114924723307292,44.172,45.1
72,1.75357904426419,1.9329336480034722,44.436,44.32
73,1.7505634092992666,1.9425050726996527,44.49,44.39
74,1.748971114178093,1.9224684244791668,44.776,44.91
75,1.7720144964724172,1.8679522298177085,44.194,44.53
76,1.7723864173110646,1.921736300998264,44.316,45.1
77,1.789575925243144,1.9609914415147571,44.236,44.08
78,1.781468652841996,1.9178127983940974,44.274,45.11
79,1.770460939991231,1.9077476806640625,44.734,45.26
80,1.78524399613361,1.9250582275390624,44.662,45.39
81,1.7634435013751593,1.9066543782552086,45.116,45.35
82,1.782264227419483,1.974231187608507,44.552,44.64
83,1.7888253946109698,2.068589911566841,44.668,43.57
84,1.7990441645408168,1.9462532823350693,44.592,44.88
85,1.7786989795918366,1.9754948730468753,45.206,45.22
86,1.790163053551498,2.058708835177951,45.49,44.84
87,1.808810561822385,1.9872351345486114,45.464,45.73
88,1.798865899533642,1.9677843288845485,45.586,45.92
89,1.7815222018494894,1.9425866156684026,45.45,45.32
90,1.777311889648438,1.93781340874566,44.954,45.97
91,1.7680592763472573,1.9774770236545143,45.348,46.09
92,1.7883515824298464,1.8983172471788192,44.812,45.62
93,1.7740564039580673,1.9235989176432287,44.788,45.49
94,1.7648683882732779,1.8878416341145834,44.93,45.03
95,1.7482424764827809,1.8798128390842013,44.584,45.27
96,1.744997972138074,1.8719818250868054,44.57,44.59
97,1.7160537782007332,1.8383197564019096,45.142,45.68
98,1.733738694794324,1.82881633843316,44.598,45.59
99,1.7333007065130737,1.860035875108507,44.65,45.68
100,1.7280209014269774,1.8635717230902777,44.876,46.09
101,1.7349134396922832,1.8915657687717014,45.196,45.64
102,1.7565327621771372,1.856724595811632,45.502,46.22
103,1.7619446473413585,1.85775139702691,45.636,46.1
104,1.754722788285236,1.8685736355251734,45.846,45.91
105,1.7766571543168046,1.876243937174479,45.106,45.06
106,1.739022585499043,1.8487862684461807,45.616,46.9
107,1.7369471161511483,1.8680218912760418,46.026,46.99
108,1.7575250493263708,1.8716550292968748,45.776,46.83
109,1.7492122354312816,1.903782185872396,45.712,45.66
110,1.7556032141860647,1.8864860568576387,45.434,45.23
111,1.7330576271524238,1.8653205023871529,45.736,46.5
112,1.7251189288703765,1.8594901665581598,45.776,45.7
113,1.7285249671157525,1.8498358696831596,45.848,45.65
114,1.7169448192362882,1.8418170166015626,45.74,45.96
115,1.7113516472018495,1.8485184054904513,45.874,46.16
116,1.7393507354113522,1.9228968234592014,45.666,45.4
117,1.7305660300741392,1.986134358723958,45.602,45.26
118,1.728412657445791,1.9242347276475695,45.372,46.06
