epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.274162804428412,2.2658846164279507,16.032,23.67
1,1.9927670076331312,2.182872409396701,30.164,31.55
2,1.9023930414939412,2.020420301649305,34.642,37.17
3,1.8518311020208866,1.9907623426649306,36.908,39.26
4,1.8475199971101723,2.152182874891493,38.118,36.35
5,1.8437466766980237,1.995749769422743,38.612,39.65
6,1.8252708067602037,2.005763332790799,39.322,39.71
7,1.854324609873246,2.004825832790799,39.44,40.96
8,1.862489758549905,2.1965990397135418,39.624,37.7
9,1.8353277986487562,2.006347479926215,39.904,40.86
10,1.8596185701331311,1.942794949001736,39.778,42.26
11,1.7990777787189092,1.9740703667534722,41.098,41.52
12,1.818490082409917,2.0926004638671873,41.176,40.13
13,1.8249937769052933,2.040311835394965,40.926,41.86
14,1.8131390605070146,2.30620172797309,41.628,37.92
15,1.8256592893016574,2.264183905707465,41.684,38.78
16,1.8178437300701527,2.087013644748264,42.042,41.65
17,1.8051326256576854,2.0843150363498264,42.586,41.76
18,1.8346781429368617,2.1667062038845484,42.36,40.72
19,1.8237579843949303,2.136464586046007,42.722,41.07
20,1.8131996547154017,2.09136321343316,42.96,41.24
21,1.8172671272122127,2.151405653211805,42.464,40.18
22,1.7993926030373082,1.9906176079644098,42.388,42.04
23,1.8008312539859685,1.9991584879557291,42.284,41.63
24,1.7898524169921877,1.9826235758463544,42.784,42.05
25,1.7797265948860013,1.964408433702257,43.354,42.56
26,1.77639051289461,2.0612961697048613,43.406,40.91
27,1.789411010742188,1.9887560628255205,43.082,42.74
28,1.7624655338209503,1.9737202555338544,43.53,43.35
29,1.7713175995495853,2.0185397677951387,43.46,42.45
30,1.749637219487404,1.9110592583550345,43.53,44.37
31,1.7540386090959825,1.8772422960069446,43.91,45.2
32,1.7618357930086095,1.9071943901909723,43.99,44.71
33,1.75671314971301,1.8857957221137154,43.66,44.69
34,1.7699254374601405,1.973179497612847,43.64,43.2
35,1.7853169767418684,1.8994961886935764,43.074,44.8
36,1.760688050562022,1.954179402669271,43.62,44.76
37,1.7651297707071105,1.938771280924479,43.666,44.58
38,1.7586084781568883,1.9647898898654512,43.642,43.93
39,1.7804023636798472,1.9692743191189237,43.374,43.9
40,1.777897904376594,1.9464674207899304,43.164,44.33
41,1.7673713329081626,1.9297773844401043,43.898,45.06
42,1.780072636818399,1.9298125678168405,43.884,44.67
43,1.7830586909080042,1.8975763753255208,43.546,44.75
44,1.7668595269650829,1.8942636718749999,43.864,44.37
45,1.779219915896046,1.978284369574653,43.38,43.67
46,1.762536892637914,1.9429641384548613,43.566,44.38
47,1.7626133410395417,1.8980537245008682,43.532,44.71
48,1.7667988306162312,1.9132544894748262,43.996,44.4
49,1.7677559141820796,1.9641019287109376,43.88,44.0
50,1.7648215107820473,1.8971709933810763,43.762,44.9
