epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2641972307477674,2.2208261311848956,16.638,25.05
1,2.0061450120575572,2.076333672417535,30.07,31.94
2,1.9164767294124687,2.0687340087890624,33.726,36.53
3,1.85149609375,1.9825901828342012,36.864,39.01
4,1.844645931321748,1.9750331624348958,38.54,39.79
5,1.830171909877232,2.007600572374132,38.756,39.75
6,1.8062093082350128,2.0666858588324657,39.966,38.18
7,1.8213296172472897,1.997203111436632,39.868,40.43
8,1.8010097506776144,1.933670979817708,40.568,41.27
9,1.8015152388592155,1.9084209120008682,40.732,42.71
10,1.7930862812898598,1.9588861355251739,41.434,41.94
11,1.801397647779815,1.9376455756293405,41.57,42.63
12,1.8229484838368943,1.938700371636285,41.062,41.86
13,1.8077812998246177,1.9668205430772572,41.76,42.55
14,1.8018604163345024,1.9135412462022567,41.866,42.63
15,1.8018532415896042,1.9332663167317707,41.93,43.35
16,1.8113623520208866,1.9619648301866317,41.8,42.42
17,1.7904475122568555,1.9569609375000003,42.058,43.1
18,1.8050865976761796,1.931477484809028,41.864,43.19
19,1.804081635144292,1.9182162272135415,42.128,43.09
20,1.7918182821468427,1.9085630018446185,42.364,43.35
21,1.809325925243144,1.903072740342882,42.204,43.22
22,1.7929150938695786,1.892593234592014,42.236,43.02
23,1.781145438058036,1.9053412136501737,42.6,43.36
24,1.7688912876674103,1.934269354926215,43.088,44.12
25,1.7783600874920285,1.942219753689236,43.364,43.7
26,1.7645224933235009,1.9017794596354167,43.338,43.33
27,1.7867438441685268,1.9989405924479169,42.92,42.72
28,1.7710885632573345,1.8722965630425348,43.282,45.71
29,1.7603785798987561,2.0109415147569445,43.65,44.02
30,1.7533945063376914,1.896272488064236,44.106,45.62
31,1.7708653738839284,1.9249106716579862,43.786,45.33
32,1.7721926991988202,1.8942919514973957,44.032,45.4
33,1.7968384935028694,1.965194810655382,43.48,43.67
34,1.767764155173789,1.9151290147569442,44.1,44.64
35,1.7682436847297511,1.9955852050781249,44.33,43.63
36,1.7659530876315368,1.939085693359375,44.746,44.43
37,1.748216662348533,1.9527374131944444,44.644,44.76
38,1.7367186553332263,1.895162339952257,45.008,46.01
39,1.733876278001435,1.8873446044921875,45.212,45.14
40,1.7303499730947065,1.8690456000434028,44.988,46.26
41,1.7298357830436863,1.8349766303168404,45.264,45.96
42,1.7261808484135839,1.8558543158637153,45.352,45.36
43,1.7619972745934318,1.8914095865885419,44.268,45.52
44,1.7301960324657204,1.8595912000868056,44.96,46.29
45,1.7224025480309306,1.8350410970052085,45.214,46.92
46,1.71179885552854,1.8610581868489584,45.594,46.55
47,1.7234488201530613,1.8763374159071178,45.034,44.86
48,1.7198696039939414,1.8489004584418407,45.27,46.38
49,1.7251615837252863,1.8568711751302085,45.352,46.51
50,1.7144242715640945,1.8748624945746526,45.464,46.71
51,1.720897500797194,1.899107625325521,45.354,46.02
52,1.6979581199178881,1.8504361300998262,45.582,46.86
53,1.6956682353117032,1.8307437065972225,45.806,47.32
54,1.7027721420599489,1.8531781955295135,46.074,46.62
55,1.689661446707589,1.858531236436632,46.098,46.96
56,1.6991093326490756,1.866843058268229,46.584,47.17
57,1.695942220882494,1.8176167805989583,46.262,47.01
58,1.6875185845822707,1.8375258110894097,46.69,46.38
59,1.7062180624202803,1.850390570746528,45.876,46.89
60,1.7233298564054527,1.8364332411024304,45.73,47.52
61,1.6990663688815366,1.8151308865017362,46.26,48.39
62,1.6905524429009888,1.78324504937066,46.65,48.52
63,1.7008941102319834,1.810516899956597,46.9,48.62
64,1.6979354098573014,1.8289828016493053,46.964,47.69
65,1.6738243308553884,1.8731107991536458,47.274,47.77
66,1.6758468316525825,1.8725417751736113,47.456,47.0
67,1.689456236547353,1.8294244249131948,46.958,47.68
68,1.6820962561782524,1.771555189344618,47.02,48.24
69,1.6832803581393494,1.875139702690972,47.37,48.14
70,1.699045118682239,1.8308872205946178,46.854,47.98
71,1.6986281489158161,1.8845355767144096,47.168,47.3
72,1.703347940250319,1.80638518608941,46.906,48.11
73,1.6898578329280927,1.8335186631944442,47.12,47.64
74,1.6792850366709178,1.8300125325520833,47.472,47.84
75,1.6973475242147638,1.853614474826389,47.034,47.54
76,1.7030693882533483,1.8223557128906254,46.984,48.08
77,1.6923683907645095,1.8468087836371525,47.446,47.9
78,1.6971897819674748,1.8250615234375,47.03,48.54
79,1.6782217170559628,1.8194486897786462,47.522,48.16
80,1.683011397381218,1.8074893527560763,47.386,48.74
