epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.8359320605468752,2.0141478542751736,33.474,35.35
1,1.7614188281249996,1.935345933702257,36.808,37.84
2,1.73611681640625,1.89651604546441,39.258,40.82
3,1.710140817871094,1.887261895073785,41.22,41.93
4,1.7146390258789066,1.9099631347656247,42.164,42.54
5,1.7026776489257813,1.8965295817057293,44.158,44.64
6,1.6965909741210938,1.925064453125,44.924,45.18
7,1.6858822070312507,1.9083173149956596,46.128,45.88
8,1.686256149902344,1.9305026041666666,46.286,46.11
9,1.669815336914063,1.9319338921440972,47.46,46.73
10,1.6630620166015628,1.96086328125,48.092,47.31
11,1.6720705566406249,1.9423463406032988,49.104,48.46
12,1.665967431640625,1.9487028130425346,49.54,48.45
13,1.6718859375000001,1.9398003743489585,50.132,49.05
14,1.6514669287109367,1.9213582492404515,50.426,49.76
15,1.6584651684570315,1.88035833062066,50.638,50.23
16,1.6743133251953126,1.9122059733072914,50.878,50.89
17,1.6891255493164061,1.8969493950737848,50.808,51.24
18,1.6623765771484376,1.9181813829210068,51.828,51.14
19,1.6626951245117183,1.904359185112847,51.75,51.16
20,1.6715102954101568,1.9340087619357638,51.972,50.88
21,1.6727345043945308,1.9109566107855906,52.318,51.51
22,1.6774803515624999,1.9784986165364584,52.248,51.22
23,1.6602005151367183,1.8893958333333336,52.788,52.22
24,1.6570544897460935,1.8877665744357637,53.048,52.02
25,1.6438634155273437,1.8992824028862847,53.272,52.56
26,1.6603079614257816,1.8815637885199652,53.512,52.54
27,1.6487716699218753,1.8674345024956598,53.538,53.3
28,1.6517517773437504,1.8697840576171876,53.866,53.37
29,1.6446095605468747,1.8848067626953124,54.106,53.27
30,1.6395846093750004,1.8633998887803815,54.388,53.47
31,1.6437805834960943,1.9150203721788195,54.548,53.87
32,1.6378652734375,1.880392795138889,55.074,54.22
33,1.6333929003906251,1.8790855848524306,55.202,54.38
34,1.6105291650390625,1.8592747531467013,55.488,54.72
35,1.6424378247070315,1.8989745958116317,55.202,54.07
36,1.6410191821289066,1.9291229654947921,55.482,53.95
37,1.6397303613281249,1.9140122477213544,55.626,54.54
38,1.6360603002929688,1.930560574001736,55.954,54.38
39,1.6226436425781248,1.944400919596354,56.27,53.9
40,1.6054176928710941,1.8925012749565977,56.626,54.74
41,1.6175045483398438,1.9553707139756942,56.294,54.34
42,1.6244503759765627,1.9588175184461807,56.676,54.36
43,1.630507551269531,1.9253104112413193,57.026,54.95
44,1.618604743652344,1.9289386393229166,57.264,55.26
45,1.6289808984374994,1.8687828776041668,57.012,55.68
46,1.5986311669921878,1.8350219590928818,57.534,56.25
47,1.6150208105468749,1.9031201850043402,57.67,55.96
48,1.6166545288085938,1.8502716606987848,57.822,56.77
49,1.6108653271484379,1.8740380859375003,57.958,56.65
50,1.6286197314453128,1.8988641764322918,57.942,56.66
51,1.6142809594726557,1.8627706434461804,58.046,56.98
52,1.6046664477539068,1.9000209282769096,58.282,56.19
53,1.602766098632813,1.8648764241536462,57.774,56.79
54,1.6037631616210932,1.838186292860243,58.06,56.88
55,1.5989851953124994,1.8562134738498264,58.22,57.29
56,1.5926472656249993,1.8039785834418405,58.512,57.41
57,1.5871698510742183,1.8129903835720487,58.756,57.87
58,1.5959363110351563,1.8289497070312501,58.922,57.89
59,1.5728921899414061,1.8247112630208333,59.016,58.17
60,1.5951609277343755,1.8476978488498266,58.928,57.64
61,1.550458913574218,1.816530978732639,59.394,58.11
62,1.56913416015625,1.8376504584418403,59.33,57.9
63,1.5629253417968743,1.8722601589626737,59.442,57.43
64,1.573661806640625,1.8301991238064237,59.478,58.02
65,1.5487287036132806,1.8252966851128472,59.566,58.32
66,1.5646514697265628,1.843160129123264,60.074,58.6
67,1.5473902099609378,1.818955050998264,60.008,58.15
68,1.5488664550781244,1.821230414496528,60.122,58.45
69,1.5556623828124998,1.8551227077907986,60.264,58.65
70,1.529378190917969,1.8290579427083336,60.4,58.35
71,1.5345200439453124,1.849309597439236,60.364,58.36
72,1.5582955249023442,1.836968505859375,60.176,58.83
73,1.5326659863281245,1.8408330620659723,60.442,58.32
74,1.5556036889648437,1.850891384548611,60.22,58.44
75,1.5515489648437495,1.8491513943142361,60.474,58.75
76,1.5301382788085933,1.8338441026475694,60.666,58.46
77,1.539151862792969,1.818517781575521,60.334,59.01
78,1.5450683178710936,1.8202366943359374,60.386,59.03
79,1.5521521997070318,1.8675463460286457,60.488,59.26
80,1.549840808105469,1.865330159505208,60.68,58.89
81,1.5516207666015622,1.8439262017144098,60.828,58.88
82,1.5364188159179688,1.8098511013454859,60.992,58.96
83,1.5286236987304682,1.8384574381510417,61.0,58.91
84,1.539157768554687,1.8152968343098956,60.732,58.85
85,1.5316905981445315,1.795515679253472,61.092,59.5
86,1.5205087670898438,1.8316686604817711,61.088,59.07
87,1.5442387573242187,1.8055696207682292,61.09,59.43
88,1.5116791894531254,1.7880777859157986,61.25,59.82
89,1.5277059130859376,1.801953843858507,61.244,59.25
90,1.5230273046874996,1.8089619411892361,61.558,59.74
91,1.5317458740234378,1.7954771185980907,61.644,59.72
92,1.5317108593750002,1.825736829969618,61.574,59.6
