epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.8359320605468752,2.0141478542751736,33.474,35.35
1,1.775421960449219,1.9937525499131945,37.31,37.48
2,1.744182746582031,1.9917242296006943,39.45,39.42
3,1.7330255468750004,1.9268904079861113,40.198,41.79
4,1.7414171875000002,1.9714425455729168,42.116,41.78
5,1.7247884082031242,1.9179837646484375,43.62,44.3
6,1.7199959179687498,1.9501529676649305,44.49,44.62
7,1.7086133496093754,1.945666531032986,45.366,44.7
8,1.7081507202148436,1.9790591905381945,45.564,45.27
9,1.6958993676757805,1.9870778266059028,46.494,46.03
10,1.7125387133789065,2.0122762993706598,47.028,45.98
11,1.70263615234375,1.9876756184895834,48.324,47.71
12,1.6987463330078125,2.0064903428819445,48.412,47.96
13,1.7108111376953121,2.023209418402778,48.528,47.86
14,1.6868912670898437,1.9625157877604167,49.358,48.81
15,1.681036345214844,1.9520663791232638,49.59,48.86
16,1.6876029956054692,2.014992702907986,49.728,48.93
17,1.7103936645507816,1.9528354627821183,50.648,50.34
18,1.6985915502929683,1.9214042290581597,50.898,50.49
19,1.6873069531249998,1.9576696099175348,51.618,50.88
20,1.6887093676757814,1.9808767361111113,51.886,51.02
21,1.6840947509765627,1.9582035183376736,52.35,51.38
22,1.683162314453125,1.995745876736111,52.428,51.62
23,1.7010016333007807,1.9749032253689234,52.644,51.57
24,1.7109951098632807,1.961352322048611,53.018,52.1
25,1.6989065966796875,2.009095404730903,53.16,52.19
26,1.6939636596679688,1.9793255343967013,53.558,52.76
27,1.696695859375,2.008544799804687,53.444,52.43
28,1.6831472631835935,1.9423961046006941,53.892,53.02
29,1.6793921191406245,1.9483393012152779,53.84,53.07
30,1.6719714453125005,1.9582220052083334,54.014,53.29
31,1.6580118530273447,1.9525271267361113,54.622,53.84
32,1.659391154785156,1.8910260145399305,55.016,54.07
33,1.656492846679688,1.9436206868489583,55.184,53.58
34,1.6498238232421878,1.9147836100260416,55.4,54.52
35,1.6540435717773434,1.919487358940972,55.592,54.72
36,1.6572001831054695,1.9124414333767359,55.724,54.87
37,1.664458864746094,1.932705824110243,56.006,54.94
38,1.6634930517578124,1.930081488715278,55.866,55.32
39,1.6716217309570314,1.8605146484375001,55.998,55.26
40,1.6431145922851562,1.8614413113064237,56.456,55.61
41,1.6343626123046875,1.8640164388020837,56.382,55.43
42,1.6340437207031249,1.847642347547743,56.632,55.78
43,1.633173173828125,1.8442274441189233,56.816,55.56
44,1.63171775390625,1.8499265679253476,57.192,56.3
45,1.6353027783203122,1.8567893608940973,57.108,56.14
46,1.6262831201171877,1.8428690863715278,57.386,56.17
47,1.6113073339843749,1.8599666205512153,57.586,56.63
48,1.6325727539062498,1.860161105685764,58.012,56.67
49,1.6230067626953124,1.875492906358507,58.028,56.87
50,1.610943139648437,1.8416346571180557,58.624,57.33
51,1.6010628857421878,1.8737885199652777,58.738,56.94
52,1.5804252856445309,1.8495977105034724,58.83,57.13
53,1.5977861669921873,1.851740953233507,58.674,57.24
54,1.5852357250976568,1.8633745659722223,58.996,57.24
55,1.580266452636719,1.8910669487847223,59.006,57.32
56,1.553497453613281,1.8000894232855902,59.136,58.07
57,1.5584006835937496,1.8102108561197916,59.198,58.06
58,1.561035710449219,1.8053527967664929,59.368,57.96
59,1.5565560766601567,1.7817480061848958,59.876,58.4
60,1.555088227539062,1.7874378255208336,60.002,58.71
61,1.5471656152343751,1.7786799723307292,59.68,58.48
62,1.5490855712890628,1.7537802463107637,59.732,58.38
63,1.536030341796875,1.7869907497829862,60.014,58.54
64,1.5553242431640626,1.8030912814670141,59.866,58.46
65,1.536934890136719,1.7707499321831597,60.304,59.05
66,1.5501766088867186,1.7913702663845485,60.29,59.15
67,1.5493764868164062,1.7916236165364583,60.136,59.34
68,1.5363230590820314,1.7884241129557295,60.314,59.0
69,1.540703120117188,1.7642162000868058,60.642,59.63
70,1.5310811572265624,1.7407185872395834,60.796,59.84
71,1.5079035400390626,1.7472021891276042,60.87,59.57
72,1.520158298339844,1.764045803493924,60.72,59.79
73,1.5225966259765624,1.7624334038628473,60.83,59.38
74,1.529757314453124,1.8106836886935764,60.866,59.81
75,1.5378531884765625,1.80897900390625,60.892,59.22
76,1.5228202050781252,1.8000274929470486,61.072,59.96
77,1.512712355957031,1.8102677544487848,61.248,59.74
78,1.5095369409179689,1.72448681640625,61.418,60.42
79,1.4995488989257808,1.720105726453993,61.52,60.24
80,1.4971777294921873,1.7425701090494794,61.37,59.95
81,1.4860181494140625,1.7230991889105902,61.604,59.83
82,1.4817017407226565,1.7312326117621528,61.642,60.29
83,1.4899509643554691,1.7748302273220484,61.822,60.31
84,1.4768819628906251,1.7329674072265626,61.956,60.14
85,1.4669846874999999,1.7412248942057291,61.802,60.42
86,1.4760806201171877,1.7276325547960072,62.312,60.52
87,1.4922495922851562,1.7603070203993054,62.278,60.76
88,1.4932562475585933,1.7333020833333335,62.042,60.9
89,1.474755720214844,1.7189845920138889,62.426,60.94
90,1.4744694189453125,1.6996701117621529,62.326,61.16
91,1.4727507128906248,1.7148572184244795,62.62,61.1
92,1.484954426269531,1.7300794135199653,62.616,61.33
93,1.4777046923828123,1.7171978624131943,62.446,61.33
94,1.4747111889648439,1.6942963731553822,62.65,61.18
95,1.4803454272460939,1.7048724093967014,62.762,61.52
96,1.4844615869140627,1.7358212076822916,62.958,61.18
97,1.485229162597656,1.7079307183159722,62.75,61.64
98,1.471163291015625,1.6971952582465275,62.77,61.35
99,1.4770385400390627,1.7179842529296878,62.53,61.27
100,1.4656853051757812,1.6816602918836805,63.02,61.51
101,1.4569685498046874,1.6810955403645833,62.794,61.95
102,1.448153986816406,1.6824763183593747,63.196,62.24
103,1.4492077343749994,1.7288260362413193,63.232,62.04
104,1.4733368750000002,1.7373327094184028,63.126,61.93
105,1.4708088940429689,1.722906995985243,63.12,61.66
106,1.4547529736328124,1.6973317599826392,63.214,61.93
107,1.447353291015625,1.7296110432942706,63.348,61.94
108,1.450087370605469,1.6955916612413195,63.662,61.86
109,1.449354340820313,1.7473173014322918,63.562,62.08
110,1.444389191894531,1.7138168131510416,63.534,62.07
111,1.4373583447265628,1.6925572645399303,63.564,62.04
112,1.4453814746093752,1.700183091905382,63.856,62.49
113,1.4593328222656254,1.7197240125868054,63.642,62.31
114,1.4574090087890628,1.6957544759114582,63.644,62.2
115,1.4626073828125,1.7638755425347223,63.732,61.75
116,1.4770605004882813,1.7479193386501735,63.596,61.84
117,1.4540578051757818,1.7102543809678818,63.752,62.08
118,1.4365362133789064,1.6756652967664931,63.934,62.14
119,1.4407589135742191,1.6864537082248263,63.988,62.45
120,1.424791770019531,1.6810550672743056,64.134,62.26
121,1.4267031372070316,1.708271050347222,64.268,62.52
122,1.44817296875,1.7011692843967012,64.07,62.57
123,1.4417945825195317,1.6987497558593752,64.156,62.5
124,1.4532060546875005,1.727062038845486,64.042,62.5
125,1.4440732641601561,1.6872773708767363,64.138,62.83
126,1.4569044189453126,1.6619408637152777,64.32,63.02
127,1.4502949414062498,1.6956620008680554,64.23,62.93
128,1.4462555371093746,1.677646959092882,64.348,62.82
129,1.452741447753906,1.6633940294053822,64.514,63.3
130,1.434537614746094,1.6371687418619791,64.624,63.43
131,1.430969399414062,1.635369113498264,64.56,63.38
132,1.4348728027343751,1.6494964599609374,64.608,63.33
133,1.4349889233398434,1.6502838270399307,64.54,63.37
134,1.4539168188476563,1.6759085693359377,64.558,63.08
135,1.4348453686523437,1.6720316026475694,64.746,63.27
136,1.42843564453125,1.653864529079861,64.838,62.92
137,1.4389037255859372,1.6861711697048611,64.66,62.77
138,1.4332910815429691,1.6300326063368056,64.778,63.31
139,1.4201495458984374,1.6464894341362848,64.87,63.19
140,1.423973098144531,1.641165703667535,64.76,62.86
141,1.4327091015625002,1.6611061469184027,64.772,63.27
142,1.4367940649414062,1.6905755343967017,64.928,62.86
143,1.4262490087890622,1.6787674153645833,64.828,62.78
144,1.4367626708984378,1.656804958767361,64.948,63.09
145,1.4312860351562497,1.6830328097873266,64.986,63.0
146,1.4383461767578123,1.6777913004557292,64.816,63.75
147,1.4316414672851558,1.6490177815755207,65.286,63.9
148,1.4276089428710939,1.6630269232855905,65.178,64.13
149,1.4230834521484377,1.641558146158854,65.246,63.55
150,1.3883897924804693,1.6402790120442707,65.764,63.95
151,1.3871341113281253,1.6384593777126737,65.8,64.06
152,1.3869201953125003,1.6378668348524306,65.852,64.27
153,1.3852377270507819,1.6348083631727428,65.93,64.14
154,1.3858817407226567,1.639648261176215,65.932,64.19
155,1.3847332055664061,1.6414599202473956,66.014,64.33
156,1.3841922070312505,1.6407991672092015,66.056,64.23
157,1.3854435693359375,1.6462023111979165,66.098,64.16
158,1.388206037597656,1.643082058376736,66.178,64.27
159,1.386870268554687,1.645008748372396,66.276,64.34
160,1.3880101196289063,1.6437884250217014,66.2,64.41
161,1.3880041064453121,1.6476696099175347,66.264,64.45
162,1.3903489819335937,1.6497398952907985,66.28,64.44
163,1.390765788574219,1.6521437988281247,66.358,64.59
