epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.4974054169654847,1.6181487772199843,45.876,47.37
1,1.4315611696243287,1.560303317175971,48.034,49.39
2,1.3155457282066345,1.3911797735426161,52.494,54.23
3,1.1870296168327332,1.262237548828125,57.412,58.32
4,1.138349587917328,1.2108121977912054,58.972,60.46
5,0.9805408632755279,1.111194696691301,65.132,64.46
6,0.8938139688968658,1.0213471452395122,68.204,67.21
7,0.8382122802734375,0.9970400200949775,70.366,68.05
8,0.7639533543586731,0.9565921359592013,72.87,69.86
9,0.6972564256191254,0.8881975875960456,75.294,71.91
10,0.6411436033248902,0.8776559829711914,77.364,72.1
11,0.6152727431058884,0.8125326037406921,78.352,74.17
12,0.5691207420825958,0.845272057586246,80.014,74.02
13,0.5257956504821777,0.876393006907569,81.358,73.6
14,0.5337961846590042,0.8985777762201097,81.306,72.74
15,0.48375175714492796,1.0555531515015497,82.922,70.61
16,0.4484074854850769,1.0568000541792975,84.034,70.05
