epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.6116835045814515,1.7526456779903836,40.992,42.76
1,1.4559275674819947,1.5749406417210896,47.142,48.48
2,1.3432593154907226,1.4064013163248699,51.162,54.39
3,1.2208509945869446,1.3812719053692288,55.818,55.17
4,1.163396921157837,1.2805907196468778,58.068,58.79
5,1.0014812302589418,1.1558005809783936,63.978,62.8
6,0.9452637887001037,1.0631344185935125,66.21,65.92
7,0.8764272904396058,0.9942020972569784,68.466,68.64
8,0.8263252997398376,0.907809336980184,70.47,70.85
9,0.7595085299015045,0.8721745279100206,73.026,72.98
10,0.7191684758663177,0.809323615498013,74.58,74.46
11,0.6552868485450745,0.7648503383000692,77.03,76.12
12,0.6319057941436768,0.7262308730019463,77.784,77.05
13,0.6090045320987701,0.7346423400772942,78.49,77.31
14,0.5798377919197083,0.7132793664932251,79.692,77.69
15,0.5565927952528,0.6978386905458238,80.592,78.53
16,0.5253427159786225,0.7066359983550178,81.692,77.98
17,0.501339852809906,0.6414904329511855,82.352,80.11
18,0.495602553486824,0.6488189829720391,82.798,80.15
19,0.47204227685928346,0.6795141630702548,83.548,79.65
20,0.4625553447008133,0.6388225025600858,83.85,80.69
21,0.4509169602394104,0.6167684197425842,84.356,81.07
22,0.44234269618988037,0.6162176264656914,84.532,81.29
23,0.4451170414686203,0.6205945412317911,84.466,81.06
24,0.4159820681810379,0.586997734175788,85.51,82.07
25,0.4093779343366623,0.5534102916717529,85.858,82.8
26,0.41627982676029207,0.600713935163286,85.492,81.26
27,0.4026483917236328,0.5920619401666853,85.956,81.46
28,0.3854752266407013,0.5748003820578257,86.43,82.39
29,0.38490619480609894,0.5535487996207343,86.348,83.05
30,0.38550930202007294,0.5598509179221259,86.34,83.06
31,0.3596717023849487,0.5414867069986131,87.34,83.42
32,0.36056179881095884,0.528588076432546,87.288,83.78
33,0.33703397810459135,0.523070302274492,88.156,84.19
34,0.3244584536552429,0.522900445593728,88.594,83.94
35,0.356703936457634,0.5627118547757467,87.538,82.94
36,0.3426074695587158,0.5848252773284912,87.97,82.77
37,0.33473755955696105,0.5348247388998667,88.254,84.0
38,0.3312862396240234,0.5491753253671858,88.35,83.66
39,0.33544115483760834,0.532392809788386,88.268,83.77
40,0.3221714022755623,0.5706658595138125,88.682,83.03
41,0.31447631388902664,0.5914490024248759,88.924,82.31
42,0.2962219426035881,0.5220691429244148,89.548,84.79
43,0.3106122237443924,0.5297819905810885,89.134,84.14
44,0.3145382535457611,0.5075102415349748,88.962,84.86
45,0.3074625498056412,0.5706542233626047,89.23,83.0
46,0.3056345862150192,0.5896553562747108,89.308,82.5
47,0.30169863283634185,0.5580213367938995,89.44,83.45
48,0.28568846464157105,0.56859466764662,89.97,83.43
49,0.2867358070611954,0.5571426517433591,89.834,83.4
