epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.882376123046875,2.0535433485243058,31.564,33.73
1,1.8319647973632809,2.01807038031684,33.726,34.87
2,1.8127965820312497,2.0514923231336804,35.636,36.14
3,1.7869694873046864,1.9338871527777775,36.736,38.95
4,1.7544082006835935,1.9430655246310762,38.174,39.48
5,1.7279924609375001,1.9562779541015627,40.054,41.33
6,1.7146195141601561,1.9110894639756946,40.226,40.99
7,1.708647993164062,1.8836697726779517,41.6,42.04
8,1.7119617089843748,1.917913886176215,41.574,42.53
9,1.7020947241210935,1.9492173122829861,42.51,42.83
10,1.7090045288085938,1.8957744547526039,43.062,43.57
11,1.6924581762695314,1.8837694091796873,44.396,44.72
12,1.7082578784179687,1.9543642985026044,44.31,44.24
13,1.7046100634765629,1.8799402804904513,44.988,45.06
14,1.6916368090820313,1.9239836697048613,45.242,45.45
15,1.6882730029296877,1.8857385525173609,46.002,46.07
16,1.6861300610351566,1.919690836588542,46.518,46.57
17,1.7005087304687498,1.8872800157335068,46.606,47.19
18,1.6974427343749996,1.8709935167100693,47.566,47.8
19,1.682076064453125,1.8695536702473956,48.106,48.28
20,1.6841644116210939,1.8696383056640624,48.258,48.59
21,1.6765855322265621,1.869879896375868,48.978,48.34
22,1.706846135253906,1.9514460313585067,48.812,48.6
23,1.6980750683593748,1.9117967258029518,49.066,48.66
24,1.6825601049804688,1.8862983940972222,49.91,49.54
25,1.6764194970703123,1.9082903510199654,50.112,49.47
26,1.6889831469726562,1.8903734537760417,50.058,50.0
27,1.6770445483398435,1.9013332790798616,50.394,50.0
28,1.6554362084960936,1.8569365505642363,50.828,50.72
29,1.6730159692382813,1.870600084092882,50.958,50.9
30,1.661421809082031,1.898910685221354,51.518,51.19
31,1.6681167431640624,1.9257854410807294,51.682,51.52
32,1.6567393359374996,1.8769726426866322,52.068,51.61
33,1.655234245605469,1.8945464409722221,51.978,52.49
34,1.6481415234374994,1.8830049641927085,52.644,52.56
35,1.6571596508789068,1.8628178168402778,52.836,53.11
36,1.6568362744140626,1.9307969699435763,53.166,52.13
37,1.6456138208007811,1.9077787000868054,53.092,52.26
38,1.6412282275390624,1.898154758029514,53.354,52.56
39,1.6309031884765628,1.9047530788845488,53.992,53.53
40,1.6222122729492188,1.9304836561414933,54.184,53.49
41,1.6388596313476567,1.9386561143663197,54.498,53.39
42,1.654977922363281,1.8915059814453121,54.098,53.92
43,1.6463564038085945,1.9014721544053819,54.038,53.86
44,1.6314341503906251,1.8739947374131942,54.456,53.94
45,1.6428478369140627,1.9039675699869794,54.618,53.64
46,1.6331651049804685,1.8857862820095486,54.986,53.93
47,1.6297329174804682,1.856963677300347,54.942,54.45
48,1.6544063037109367,1.8582597113715278,54.702,54.4
49,1.6345257348632811,1.8652873128255207,55.184,54.9
50,1.6318135131835938,1.8683745388454858,54.934,54.62
51,1.630708562011719,1.8206696234809026,55.598,55.29
52,1.6172847875976566,1.9224997694227435,55.73,54.19
53,1.6217657128906253,1.8302331271701386,55.612,55.23
54,1.6130778686523433,1.844170206705729,56.134,55.44
55,1.596486198730469,1.8241099989149303,56.132,55.49
56,1.5861417041015624,1.8432496473524305,56.072,54.98
57,1.578781459960937,1.8056019965277779,56.468,55.17
58,1.5872264208984377,1.8577451985677083,56.252,55.59
59,1.597038154296875,1.8114514024522568,56.49,56.13
60,1.581912690429688,1.827728257921007,56.42,55.97
61,1.565619484863281,1.813840345594618,56.828,56.32
62,1.5809971166992187,1.8632723388671875,56.642,55.3
63,1.5882907836914066,1.820863294813368,56.488,56.04
64,1.5800015844726567,1.8249445665147574,57.006,56.27
65,1.58558916015625,1.8435533854166666,56.792,56.14
66,1.5882690380859372,1.8635853407118053,57.036,56.14
67,1.5879808349609374,1.8264204644097224,57.046,55.91
68,1.5885331909179685,1.818182088216146,57.042,56.27
69,1.5842339038085942,1.840329603407118,57.224,56.25
70,1.5681180834960937,1.8277960205078125,57.504,56.54
71,1.5670674584960937,1.8228105875651042,57.206,56.23
72,1.5889672290039067,1.8742042778862844,57.036,55.95
73,1.57477353515625,1.7791720241970488,57.75,56.53
74,1.5642713500976564,1.8148253038194444,57.868,57.06
75,1.5672620898437502,1.8312565104166667,57.544,56.89
76,1.5684249829101566,1.8018309190538193,57.788,56.63
77,1.5591587817382817,1.799497612847222,58.022,57.32
78,1.5540815869140625,1.8088413899739584,57.92,56.34
79,1.5582587939453123,1.799670939127604,58.262,56.95
80,1.5795833666992187,1.8158684895833335,58.306,57.62
81,1.5616764257812503,1.8275750189887152,58.28,56.72
82,1.5688056298828124,1.7940589192708336,57.926,57.0
83,1.5685557275390623,1.8009472791883678,57.984,56.81
84,1.5639473095703127,1.8153343912760416,58.166,57.37
85,1.5529788256835935,1.7610331759982638,58.548,57.03
86,1.5341928344726556,1.8032051459418403,58.802,57.19
87,1.5600137670898433,1.7852016330295142,58.688,57.47
88,1.545092353515625,1.7641129286024304,58.724,57.45
89,1.5507987792968754,1.7907113172743054,58.752,58.06
90,1.5488524487304685,1.7594196641710071,58.734,57.78
91,1.5413644360351568,1.79744908311632,59.0,57.37
92,1.5438543090820311,1.79670947265625,59.256,58.66
93,1.5402455859375,1.7987000325520834,59.212,58.26
94,1.5440044750976556,1.8128704833984375,59.128,57.76
95,1.5530586547851561,1.7505282253689234,59.012,58.87
96,1.5457113964843754,1.765490261501736,59.132,58.45
