epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.534105017185211,1.716920468542311,43.966,42.44
1,1.368408579826355,1.4416383504867554,50.126,52.37
2,1.2504020714759827,1.3355888260735407,54.798,56.46
3,1.1040012264251708,1.1757480170991685,60.232,61.95
4,0.9767991888523102,1.067231277624766,64.982,66.28
5,0.8843825781345367,1.0371557871500652,68.574,67.3
6,0.788669786453247,1.1114443805482652,71.896,65.28
7,0.7233104300498963,0.9925989839765761,74.35,69.82
8,0.6616452991962433,0.9163437949286567,76.464,71.5
9,0.5884727120399476,0.9158223867416382,79.34,71.94
10,0.5528479504585266,0.87747104300393,80.544,73.07
11,0.5235864692926406,1.01041751437717,81.388,70.13
12,0.4981836801767349,0.904026104344262,82.15,73.55
13,0.4717042982578278,1.0677024126052856,83.154,70.01
14,0.4591528415679932,1.0252449446254306,83.584,70.98
15,0.3989835345745087,0.8575905760129293,85.968,74.76
16,0.3805113583803177,0.8502399656507704,86.406,75.61
17,0.3588098555803299,1.0448950595325894,87.202,72.04
18,0.3681610184907913,0.9484064777692159,86.846,74.45
19,0.30904700756073,0.9975628786616855,89.002,74.34
20,0.3116215142607689,0.9824259214931064,88.888,73.72
21,0.27944263339042663,1.0536163250605266,89.944,73.47
