epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.8846633496093748,2.0446617567274306,31.578,34.36
1,1.8166562548828125,1.973404608832465,34.672,36.18
2,1.7773619604492183,1.9565775417751736,36.78,37.17
3,1.754555686035156,1.9451893988715279,38.494,38.71
4,1.7487611596679684,1.974713121202257,39.26,39.48
5,1.7477236401367182,1.9631560194227429,39.992,41.15
6,1.7218994653320305,1.9319417995876738,41.984,42.12
7,1.7314848046875002,1.9087357855902778,42.114,42.18
8,1.7431269238281248,1.9863570556640628,42.024,41.84
9,1.7202719775390627,1.9592298583984373,42.594,42.75
10,1.730672141113281,1.9294400227864585,43.21,43.07
11,1.7254682006835935,1.9290122748480902,43.6,44.22
12,1.7271829052734375,1.923703396267361,44.788,44.33
13,1.7238593017578119,1.91132415093316,45.268,44.93
14,1.677018244628906,1.9009438205295142,46.424,45.75
15,1.6696560913085947,1.8760015462239583,46.59,46.05
16,1.6759117602539062,1.8906906467013889,47.128,46.8
17,1.6787340307617193,1.891097398546007,48.156,47.51
18,1.6672517724609375,1.8802312689887155,48.404,47.63
19,1.6847614648437501,1.8823029242621527,48.222,47.99
20,1.714973049316406,1.9188923204210069,48.208,47.8
21,1.6988608569335935,1.836111612955729,48.716,48.81
22,1.7134810229492181,1.9197403835720488,48.844,48.44
23,1.7020527709960935,1.888272406684028,48.952,48.45
24,1.7012547045898438,1.8625620659722222,49.43,49.27
25,1.6919321875,1.8642144775390628,49.578,49.93
26,1.6843420336914068,1.8614488389756945,49.95,49.87
27,1.6783986083984377,1.854843465169271,50.32,49.99
28,1.6917263305664068,1.8647349989149307,50.42,50.0
29,1.6894062280273436,1.8992313503689238,50.556,50.44
30,1.6918864453125002,1.8823214925130207,50.99,51.03
31,1.7185635644531247,1.9184869791666668,51.144,50.79
32,1.69369818359375,1.8586729058159719,51.404,51.53
33,1.6756776708984373,1.843786593967014,51.492,51.66
34,1.650745083007812,1.8596671956380209,51.506,51.71
35,1.6879969262695314,1.8676226399739582,51.582,51.79
36,1.6684156396484378,1.8596524115668405,52.068,52.35
37,1.660010090332031,1.8769512396918404,52.758,52.88
38,1.656510712890625,1.876283637152778,52.642,53.07
39,1.6706594824218746,1.8931572401258683,53.068,52.48
40,1.656005966796874,1.8688190511067713,53.444,53.2
41,1.6277553491210939,1.8397904052734373,53.808,53.52
42,1.6440495190429687,1.8599404025607642,53.802,53.44
43,1.647814370117188,1.8836017252604167,53.728,53.62
44,1.6349186132812497,1.8412526584201387,54.104,53.82
45,1.6372035595703125,1.843314507378472,54.396,53.72
46,1.6222803833007817,1.87235491265191,54.852,53.78
47,1.6254329296874999,1.8302380235460067,54.834,54.19
48,1.623269108886719,1.8384734971788192,54.802,54.02
49,1.6074457666015618,1.829251668294271,54.944,54.21
50,1.6137123779296874,1.8559485677083332,54.946,54.61
51,1.6117769409179687,1.8526298014322917,55.46,55.13
52,1.6223826806640622,1.8441407606336806,55.722,55.15
53,1.6188835571289064,1.8246033528645833,55.884,55.26
54,1.635046452636719,1.8541891411675349,55.798,55.14
55,1.6224934985351565,1.8596762830946179,55.768,55.01
56,1.6131792480468747,1.8198768039279516,55.702,54.9
57,1.6277448266601564,1.8412657606336806,55.704,54.96
58,1.6315476562500002,1.8301802571614583,55.98,55.35
59,1.6242977148437496,1.8467540011935764,56.02,55.29
60,1.6297330175781253,1.8570252278645833,55.652,54.88
61,1.5965031738281246,1.8321432020399309,56.46,55.3
62,1.6050890869140628,1.7871133083767359,56.348,55.76
63,1.6131633203124998,1.824505859375,56.674,55.65
64,1.5975296386718754,1.8161297200520836,56.542,55.77
65,1.596111286621094,1.8708374837239583,56.628,55.59
66,1.6115193481445305,1.8497841661241319,56.748,56.33
67,1.6160587060546872,1.830228285047743,56.936,55.76
68,1.6067937866210937,1.831600463867188,56.618,55.92
69,1.6019320263671875,1.841442396375868,56.744,55.79
70,1.6229056054687498,1.9159401448567712,57.024,55.45
71,1.6256648925781243,1.8556209174262155,56.726,55.87
72,1.6029387963867188,1.837652031792535,56.96,55.86
73,1.6063581347656244,1.8599410264756944,56.974,56.13
74,1.6044590673828127,1.8310899115668404,56.988,56.32
75,1.5950050903320312,1.8043017442491316,57.242,56.36
76,1.58759087890625,1.8397271321614583,57.316,55.71
77,1.5953205957031253,1.857893351236979,56.958,56.12
78,1.5975646875,1.8390659722222225,57.218,55.85
79,1.593756306152344,1.8300965711805555,57.146,55.77
80,1.5740563476562501,1.8653934054904515,57.45,55.85
81,1.5803338598632806,1.8474471571180555,57.38,55.64
82,1.595385363769532,1.8613578423394097,57.444,55.84
83,1.5783452270507805,1.8533795030381945,57.638,55.99
84,1.5845019848632809,1.8332460666232637,57.61,56.14
85,1.5907044140624997,1.8231468777126736,57.758,57.0
86,1.5789560717773434,1.8488992919921874,57.814,56.93
87,1.5978044873046877,1.8268829210069444,57.756,57.14
88,1.5914333837890626,1.8435081108940972,57.83,56.46
89,1.5968547680664062,1.8606801757812501,58.018,56.7
90,1.6057495874023437,1.8564085150824654,57.798,56.72
91,1.5734295239257812,1.7893916422526042,58.016,57.37
92,1.5769759570312498,1.835628106011285,58.148,57.38
93,1.5620532275390622,1.7962926025390626,58.28,57.24
94,1.575044619140625,1.7833057725694443,57.922,57.54
95,1.5849332446289062,1.8018367377387152,58.322,57.67
96,1.5846976660156253,1.8105476888020833,58.362,57.4
97,1.5693075805664054,1.7820628390842015,58.266,57.65
98,1.5575734667968755,1.7895504692925346,58.646,57.54
99,1.5428118334960939,1.8017616644965275,58.582,57.6
100,1.5421071606445311,1.7492603217230902,58.804,58.43
101,1.5517759179687503,1.8068813612196182,58.582,57.31
102,1.5699624267578123,1.7835920952690971,58.494,58.27
103,1.5387922631835935,1.7562008056640626,58.638,58.59
104,1.5582369995117182,1.776836642795139,59.002,58.25
105,1.562595166015625,1.7577420247395834,58.712,58.27
106,1.5557553027343756,1.7409057074652778,58.796,58.58
107,1.5376127368164063,1.7739122721354168,59.064,58.31
108,1.5533580737304695,1.7773482801649307,59.202,58.64
109,1.551871586914062,1.7775671115451388,59.17,58.56
110,1.5552115039062502,1.7730809326171877,59.216,58.8
111,1.561561108398437,1.765987358940972,59.086,58.98
112,1.5655810937499997,1.770480902777778,59.034,58.66
113,1.5639398657226562,1.7811222059461806,59.314,58.23
114,1.5596514770507819,1.7759073350694443,59.134,58.28
115,1.5569183227539063,1.7840821261935764,59.112,58.18
116,1.5637651562500006,1.779048556857639,59.366,58.45
117,1.5642538916015627,1.778652574327257,59.398,58.36
118,1.5586291162109376,1.7767651502821182,59.596,58.94
119,1.5733136669921877,1.812227484809028,59.496,58.46
120,1.568559367675781,1.8003830702039931,59.774,58.5
121,1.5587104199218746,1.7745960286458335,59.568,58.65
122,1.5451713696289056,1.7756363932291666,59.654,58.81
123,1.5491473901367185,1.7906242404513888,59.63,58.85
124,1.549294572753906,1.7809603407118055,60.002,59.15
125,1.5152046997070316,1.769543646918403,60.172,59.18
126,1.5118204174804686,1.8285048692491317,60.08,58.63
127,1.5708434448242183,1.8085114610460071,59.996,58.78
128,1.552630903320312,1.7977094590928822,60.064,59.15
129,1.5475550341796875,1.7920781928168406,59.988,58.83
130,1.5281484228515623,1.7648831244574652,60.15,59.02
131,1.5521202172851556,1.7892073432074653,60.054,58.89
132,1.5201632373046872,1.7388341064453128,60.214,58.71
133,1.5247693164062506,1.7683213975694443,60.136,59.05
134,1.544533503417969,1.812270548502604,60.036,58.45
135,1.5465013134765633,1.8280794270833332,60.188,58.88
136,1.5388409326171877,1.7654121229383681,60.198,58.92
137,1.5490302319335938,1.8036424560546875,60.354,58.86
138,1.5625866064453129,1.8341986355251736,60.426,58.31
139,1.5406672265624999,1.779642062717014,60.346,58.91
140,1.564703034667968,1.8341826578776042,60.256,58.57
141,1.5757542626953132,1.8387254367404513,60.042,58.29
142,1.5750505175781249,1.8259865858289932,60.094,58.5
143,1.5760823486328124,1.8220016004774304,59.982,58.72
144,1.5752386914062502,1.8114236382378475,60.148,59.05
145,1.5611064306640625,1.8176448025173615,60.15,58.66
146,1.5570258349609372,1.796509060329861,60.376,58.76
147,1.5774782714843747,1.8388363850911458,60.098,59.02
148,1.5731034448242187,1.8178108995225695,60.316,58.78
149,1.570772004394531,1.839299967447917,60.342,58.94
150,1.536866276855469,1.7884578450520836,60.37,59.14
151,1.5508813916015627,1.826781480577257,60.078,59.11
152,1.555946528320313,1.8114235161675347,60.332,59.04
153,1.5343150292968752,1.7667674696180555,60.644,59.02
154,1.5212219970703125,1.7331030815972222,60.33,59.32
155,1.503657744140625,1.7524368625217015,60.476,58.75
156,1.5036726391601565,1.7563314208984375,60.554,58.63
157,1.5102024340820313,1.748952379014757,60.446,58.9
