epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.1053390820312505,2.30913134765625,20.94,22.12
1,2.0507554345703127,2.2663069932725697,22.046,23.29
2,2.0229971142578127,2.238443766276042,23.878,24.63
3,2.0126993090820307,2.2103552110460067,24.446,25.4
4,2.0044366333007817,2.1940108642578124,24.922,26.57
5,1.9945495703124998,2.1755630832248265,25.266,26.78
6,1.9866500952148436,2.166178738064236,25.992,27.99
7,1.9752885180664064,2.1598148464626736,26.546,27.66
8,1.9605059643554696,2.1337500271267356,27.626,28.82
9,1.9532662573242185,2.1246791178385416,27.782,29.66
10,1.9316303051757808,2.118701063368056,28.768,29.78
11,1.923293442382812,2.1037497151692706,29.404,30.7
12,1.9216625878906255,2.090522013346354,29.95,31.08
13,1.9031485180664065,2.0822588297526043,30.666,32.07
14,1.890160065917969,2.053170681423611,31.2,32.47
15,1.8889475561523437,2.0465793185763888,31.346,32.92
16,1.8696129296875,2.0404634195963545,32.156,33.33
17,1.8700640112304692,2.02201799858941,32.022,33.56
18,1.8641411938476562,2.0198075358072916,32.16,33.43
19,1.8522351000976567,2.087953870985243,32.464,32.29
20,1.8308808837890627,2.006132649739583,33.204,34.25
21,1.8355528735351556,2.0435711941189236,33.034,33.28
22,1.8306745166015619,2.0353096110026043,33.026,33.48
23,1.8284546362304692,2.0140088568793404,33.216,34.32
24,1.816479130859375,2.0196047634548613,33.554,34.7
25,1.8100546191406246,1.9804822726779514,33.994,35.31
26,1.8124142675781252,1.975349175347222,34.138,35.51
27,1.8119542993164064,1.9903498942057292,34.564,35.29
28,1.8011859472656253,1.9835949300130207,34.77,35.77
29,1.8034648803710942,1.9858009033203128,34.9,35.78
30,1.7984345776367185,1.9740341661241319,34.998,35.91
31,1.799126748046875,1.9860523410373265,35.152,36.21
32,1.797414821777343,1.9776489935980903,35.43,36.9
33,1.790202888183594,1.967284993489583,35.73,36.75
34,1.7902423608398437,1.9783723144531251,35.912,36.39
35,1.782258654785156,1.962857476128472,35.8,36.98
36,1.7846002490234372,1.959788370768229,35.954,36.76
37,1.7814515234374997,1.965089369032118,36.176,37.46
38,1.7840326000976563,1.956994913736979,36.322,37.41
39,1.7696842602539062,1.9767549099392363,36.766,37.48
40,1.7685281835937494,1.9531236843532984,37.056,37.67
41,1.7692625024414064,1.9540023600260414,37.004,37.96
42,1.7701160449218747,1.9345822753906248,37.0,38.41
43,1.7750237646484377,1.945880832248264,37.01,38.07
44,1.7662325024414063,1.94227204047309,37.322,38.15
45,1.7669859082031252,1.944372531467014,37.438,38.25
46,1.7565308618164068,1.9480979139539931,37.672,38.43
47,1.7634800122070318,1.945978298611111,37.864,38.41
