epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.9316785693359373,2.1271480712890627,29.86,31.14
1,1.8835040234375,2.0443574761284724,32.2,34.64
2,1.8117826440429683,1.9779804009331596,35.318,35.98
3,1.8065535522460936,2.006510715060764,35.948,36.23
4,1.7939963085937496,2.030359836154514,37.084,38.49
5,1.7855506762695308,1.991483194986979,38.54,38.99
6,1.7486771411132813,1.9976959499782987,39.25,39.02
7,1.7322305371093751,1.934114610460069,40.22,40.71
8,1.7406206640625004,1.9667023518880211,41.09,41.53
9,1.7009209375,1.9358379720052084,41.912,42.9
10,1.6950900732421874,1.8962547064887154,42.59,43.16
11,1.6893441674804692,1.8829400227864583,43.272,44.09
12,1.7162592138671875,1.9289211561414932,42.992,43.28
13,1.707041120605469,1.9097039388020833,43.506,43.1
14,1.7101765576171877,1.9128824869791667,43.574,43.73
15,1.6871085131835937,1.8835741644965276,44.084,44.5
16,1.7077144335937502,1.9118399386935765,43.922,44.05
17,1.7143798828125003,1.928712415907118,43.822,44.16
18,1.7102572021484375,1.8939571533203126,44.472,44.81
19,1.7130971972656253,1.919523098415799,44.368,44.2
20,1.7110293530273444,1.881167019314236,44.546,45.55
21,1.7034613745117186,1.919428195529514,45.08,44.5
22,1.7151519897460934,1.972663547092014,44.864,44.6
23,1.7078921435546872,1.905810289171007,45.456,45.76
24,1.6843222021484376,1.9245485026041667,45.908,45.96
25,1.7044436962890626,1.928352552625868,46.296,45.43
26,1.6990195410156255,1.937989664713542,46.416,45.95
27,1.67086587890625,1.8908436686197918,46.712,46.59
28,1.6765466235351565,1.9044356553819444,47.072,46.67
29,1.6916854833984376,1.9047494439019097,46.778,46.72
30,1.6906239965820307,1.8864853786892364,46.908,45.85
31,1.6777954931640624,1.9073907741970488,47.032,46.76
32,1.6562360742187496,1.8510343831380207,47.506,47.23
33,1.6583053149414066,1.8469217393663193,47.494,47.16
34,1.6476945043945312,1.8374385443793402,47.906,47.14
35,1.653180539550781,1.8610595024956598,48.066,47.27
36,1.6470387133789066,1.9152369927300346,48.26,47.65
37,1.6776463623046873,1.8639243028428818,48.45,48.42
38,1.6547455249023444,1.8360575764973959,49.228,49.25
39,1.653564458007813,1.8638951687282987,49.202,48.27
40,1.6645639770507816,1.8503599989149306,49.16,48.69
41,1.678134736328125,1.879017076280382,49.318,48.05
42,1.6601411596679687,1.8542601996527779,49.186,48.31
43,1.6614536718750004,1.8929243164062501,49.604,48.78
44,1.6512110693359372,1.8459977077907987,49.774,49.19
45,1.6611966235351565,1.9104079047309024,49.626,47.96
46,1.6691847900390626,1.857038357204861,49.998,49.87
47,1.6531328833007808,1.8879635145399307,50.34,49.68
48,1.6728495751953125,1.8625434705946178,49.886,50.5
49,1.651379167480469,1.863804443359375,49.976,49.74
50,1.6555714379882813,1.8479041341145834,50.754,50.73
51,1.655210681152344,1.8482938368055555,50.968,51.04
52,1.660656115722656,1.8501707492404513,50.912,51.19
53,1.6597929687500002,1.8492782796223954,51.158,51.2
54,1.6602614550781254,1.8601422661675346,51.25,51.02
55,1.6697478710937506,1.864310085720486,51.238,51.28
56,1.6664201269531245,1.8551310356987847,51.382,51.37
57,1.6545135913085935,1.8481373833550352,51.54,51.37
58,1.656094682617188,1.859977864583333,51.458,51.45
59,1.6585971484375002,1.855092583550347,51.714,51.77
60,1.6615443652343744,1.8577412923177081,51.634,51.73
61,1.6632301635742193,1.8604019504123264,51.784,51.85
62,1.6654005175781248,1.8631268853081597,51.908,51.77
63,1.6636858203124996,1.8635008544921874,52.014,51.96
64,1.6646381396484373,1.8568126085069443,52.178,52.06
65,1.6591550878906254,1.8599275851779515,52.224,51.87
66,1.661657619628906,1.86034479437934,52.316,52.18
67,1.6643753710937492,1.8652311062282985,52.216,52.12
68,1.6630468383789059,1.8630500759548607,52.29,52.24
69,1.6602443457031248,1.8627157253689235,52.398,52.24
70,1.6645978466796874,1.8666656087239584,52.408,51.98
71,1.6618476171874996,1.8674866943359376,52.492,52.19
72,1.662339375,1.8641353488498262,52.574,52.08
73,1.6590776049804694,1.8639566650390624,52.626,52.27
74,1.6617208959960938,1.8656940511067706,52.634,52.33
75,1.659080883789062,1.8626610378689235,52.748,52.42
76,1.661157102050781,1.8653529052734374,52.778,52.44
77,1.661740727539062,1.8652791612413193,52.752,52.34
78,1.6619976464843758,1.8656096869574652,52.776,52.46
79,1.6625794091796875,1.8663816460503473,52.768,52.51
80,1.6624461816406246,1.8660826280381941,52.754,52.49
81,1.6625522192382816,1.8666269124348958,52.758,52.51
82,1.6625010205078121,1.8654928927951389,52.758,52.47
83,1.6625514233398437,1.8661726345486112,52.744,52.55
84,1.6624619799804685,1.8653533799913196,52.818,52.55
85,1.6613109765625003,1.8639608425564234,52.816,52.49
86,1.6612891088867188,1.8647961968315971,52.84,52.54
87,1.6604010229492192,1.863473171657986,52.844,52.55
88,1.661392888183594,1.8643898925781253,52.858,52.56
89,1.660908354492187,1.8646516927083334,52.844,52.59
90,1.6611820239257806,1.8641599663628474,52.882,52.54
91,1.6608977221679684,1.8640898708767364,52.844,52.58
92,1.6611689062500006,1.8647237955729166,52.828,52.5
93,1.6609862231445314,1.8645023600260417,52.87,52.49
94,1.6613239648437497,1.865175821940104,52.848,52.58
95,1.661319592285157,1.8651894259982638,52.866,52.59
96,1.6614746459960943,1.8651241997612849,52.862,52.6
97,1.6614499072265627,1.8647313639322916,52.844,52.57
98,1.6614534106445307,1.8646065673828127,52.836,52.61
99,1.6616261840820312,1.8654389377170142,52.834,52.68
