epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.811942705078125,1.9852687310112844,34.628,36.59
1,1.7643710034179687,1.9261454942491316,37.75,39.22
2,1.7333400537109371,1.9096891682942707,40.59,41.61
3,1.7252209277343749,1.9025328911675343,42.706,43.34
4,1.719541279296875,1.9043648546006944,43.85,45.08
5,1.7060640405273433,1.8940656467013888,45.496,45.68
6,1.700792407226562,1.9059723849826387,46.42,46.09
7,1.6875542309570313,1.9332930501302081,47.492,46.99
8,1.6899951977539058,1.9152105712890628,48.066,48.14
9,1.6834720434570312,1.9461201985677086,49.164,48.58
10,1.6904355273437504,1.9344221462673612,49.638,49.23
11,1.698376420898437,1.9507006835937502,50.058,49.48
12,1.701274916992187,1.9684749891493059,50.606,50.06
13,1.7042489282226563,1.9450633273654512,50.872,50.64
14,1.7002789672851566,1.9317393527560762,50.89,50.77
15,1.6731260034179685,1.9023908555772568,51.734,50.95
16,1.6761744604492188,1.928475355360243,51.686,51.83
17,1.6855988818359378,1.9317736273871529,52.75,52.11
18,1.6645141381835935,1.920904758029514,53.322,52.62
19,1.664816787109375,1.9242142876519095,53.58,52.83
20,1.666973896484375,1.9558242187500001,53.934,52.59
21,1.6772725439453127,1.9905418023003476,54.174,52.78
22,1.6865450561523432,1.956729939778646,54.09,53.16
23,1.658018400878906,1.928844563802083,54.494,54.08
24,1.6516844506835946,1.9129791124131943,55.21,54.25
25,1.6431612719726567,1.9232923719618056,55.702,54.52
26,1.6442906225585932,1.9389126383463544,55.826,54.78
27,1.6326523828125006,1.9322350667317707,56.044,54.46
28,1.6396278930664068,1.9337423773871525,56.276,54.46
29,1.640272023925781,1.984077907986111,56.384,54.29
30,1.6409524169921874,1.9839705403645833,56.718,54.91
31,1.629500935058594,1.9321528727213544,56.75,55.81
32,1.6174109545898443,1.9153441297743055,57.04,55.05
33,1.6236533666992188,1.9081295166015626,57.348,55.61
34,1.6108947851562498,1.8886679823133683,57.452,55.79
35,1.5983799609374998,1.9298299289279512,57.972,55.77
36,1.5954114794921879,1.9135978190104166,58.272,56.19
37,1.5723986401367194,1.9149694688585066,58.61,56.82
38,1.5994051635742184,1.866488511827257,58.592,57.12
39,1.5754159448242189,1.8782017279730898,58.794,56.67
40,1.5617796191406255,1.8964770100911457,59.092,57.38
41,1.5651288476562502,1.894269476996528,59.166,56.94
42,1.5704880273437505,1.8949196234809027,59.392,57.47
43,1.56985408203125,1.9012754584418405,59.224,57.54
44,1.552587062988281,1.8549985080295142,59.6,58.27
45,1.5600153100585936,1.8400911865234373,59.732,57.94
46,1.5617699829101561,1.810503472222222,59.72,58.63
47,1.561299072265625,1.8401788465711806,59.65,58.14
48,1.5484705322265624,1.811144300672743,60.008,58.99
49,1.5415074658203118,1.8102640516493054,60.016,59.01
50,1.4885622778320313,1.7724975721571181,60.898,59.68
51,1.4920141064453123,1.773557807074653,61.138,59.91
