epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.745520637207031,1.937058349609375,39.008,39.75
1,1.7231317944335933,1.8924934760199652,40.082,42.27
2,1.6892244238281249,1.860743638780382,43.796,44.73
3,1.6834970263671871,1.8339772949218751,44.904,45.28
4,1.6743918041992187,1.8385170220269096,46.08,47.07
5,1.6483753149414053,1.8305498725043405,47.35,48.23
6,1.6595304614257815,1.859658908420139,48.66,48.87
7,1.6369045654296874,1.8397053087022566,48.452,48.62
8,1.6517747631835937,1.8391048855251735,49.474,49.82
9,1.6294294726562497,1.858358045789931,49.972,49.76
10,1.6383207348632813,1.8662571614583332,49.818,49.69
11,1.6422546411132815,1.85226604546441,50.434,50.41
12,1.6681061816406255,1.8789023573133683,50.32,50.01
13,1.6458415063476561,1.8307451036241318,50.884,50.5
14,1.638820456542969,1.8283165554470489,51.46,51.09
15,1.6244238037109375,1.7934522569444442,51.508,51.39
16,1.6186188696289068,1.7736897922092014,51.36,50.95
17,1.6063819140625,1.7773875189887154,51.95,52.17
18,1.6081738183593746,1.7594442816840279,52.238,52.54
19,1.586524260253906,1.7595617811414932,52.71,52.53
20,1.5688219921874995,1.7365757921006946,53.208,52.78
21,1.5518687475585937,1.7616402587890625,53.418,53.02
22,1.5928798071289056,1.8110643310546872,53.98,53.1
23,1.5640615307617194,1.7601082356770834,54.618,54.02
24,1.5720079467773436,1.7712197265625,54.704,53.98
25,1.5524272509765626,1.7780643988715275,55.156,54.02
26,1.539149562988281,1.7760078531901042,55.294,54.46
27,1.5326440576171876,1.7356304253472221,55.762,55.35
28,1.5416928369140626,1.8036983235677084,55.654,54.48
29,1.5377840087890622,1.7565350477430555,56.26,55.28
30,1.5415906689453118,1.740126980251736,55.908,55.54
31,1.5459092822265632,1.7527958577473959,56.526,55.96
32,1.551830161132812,1.8046208089192706,56.604,55.38
33,1.5289682055664062,1.7346924913194441,56.986,56.27
34,1.5011051000976559,1.6969739990234376,57.162,56.27
35,1.5054490698242189,1.7086442735460068,57.36,56.46
36,1.5071944946289064,1.7369246283637152,57.59,56.79
37,1.5279904980468755,1.7510441080729167,57.734,56.83
38,1.5208014086914066,1.7905280897352434,57.898,56.75
39,1.51307470703125,1.7127972005208332,58.234,57.36
40,1.496225920410156,1.724366644965278,58.284,57.37
41,1.5135105371093749,1.7360591227213542,58.214,57.54
42,1.4979380126953126,1.6987300075954859,58.598,57.95
43,1.5033560693359376,1.7313751356336804,58.184,58.04
44,1.4926529589843751,1.7725028754340277,58.666,57.35
45,1.5174294116210942,1.7549183485243056,58.924,57.65
46,1.4967339599609373,1.715821519639757,58.942,58.1
47,1.4882560498046873,1.7329742160373265,59.18,57.96
48,1.4802052758789062,1.7113462320963544,59.488,58.32
49,1.4620881494140625,1.7134568820529514,59.39,58.66
50,1.4506038964843748,1.6986230468750003,59.686,58.66
51,1.4627805883789058,1.7224035373263886,59.332,59.1
52,1.4901801953125005,1.7358629286024305,59.894,58.37
53,1.4537441088867187,1.6979158528645835,60.386,58.79
54,1.47143912109375,1.7079589301215277,60.224,58.9
55,1.464100302734375,1.724579332139757,60.452,58.83
56,1.472584274902344,1.7131010199652779,60.514,59.42
57,1.4666947216796873,1.6982605523003471,60.554,59.39
58,1.459426943359375,1.7115560302734374,60.72,59.23
59,1.4602805419921876,1.7029334445529511,60.774,59.54
60,1.4476245996093748,1.6870009629991318,60.872,59.05
61,1.4544722753906247,1.6630261501736112,60.64,59.53
62,1.4597597436523444,1.6951247016059026,60.954,59.48
63,1.4269502465820316,1.6575427788628472,61.272,59.52
64,1.4189181567382811,1.6460423855251733,61.252,59.57
65,1.4283364184570315,1.6777473415798614,61.424,60.26
66,1.4357753515625005,1.6780623372395833,61.546,60.23
67,1.4340498828125001,1.6269360622829858,61.572,60.61
68,1.4273916699218752,1.632351467556424,61.58,60.68
69,1.416526130371094,1.6477603217230903,61.228,60.06
70,1.421247282714844,1.6259495713975693,61.624,60.45
71,1.4215223437500004,1.6742692192925348,61.51,60.41
72,1.4257761840820313,1.645343763563368,61.676,60.83
73,1.4126693725585944,1.6624513753255208,61.934,59.93
74,1.436702700195312,1.6440734456380206,62.052,60.86
75,1.4156330468750002,1.63985651312934,61.826,60.57
76,1.4065957177734376,1.6189151475694443,62.07,60.47
77,1.4168351000976562,1.6326974419487845,62.134,61.06
78,1.4181655126953125,1.666603502061632,61.94,60.1
79,1.4178214111328125,1.66693401421441,61.84,60.39
80,1.4070639135742187,1.6556779378255209,62.1,60.18
81,1.3996883886718754,1.6314102918836804,62.398,60.9
82,1.3848127075195313,1.6472625189887156,62.314,60.53
