epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.778292941894531,1.9323739149305554,38.292,40.03
1,1.7747956518554682,1.9120703667534724,41.078,42.07
2,1.7763510107421872,1.906283962673611,41.372,42.62
3,1.7649566723632817,1.971607421875,43.092,43.68
4,1.7691983471679689,1.933034396701389,45.57,46.28
5,1.7094095776367186,1.940038777669271,46.606,46.66
6,1.7006350146484375,1.9266026882595486,47.204,46.93
7,1.7102235986328123,1.8757154405381944,47.494,47.43
8,1.706858874511719,1.903505126953125,48.568,48.21
9,1.6800626977539066,1.8966093071831598,49.334,48.33
10,1.711437109375,1.868696587456597,49.328,48.15
11,1.6959934692382808,1.8767520480685767,49.602,49.73
12,1.6992273828125004,1.9356791042751738,49.522,49.32
13,1.6628349658203123,1.837330539279514,50.466,49.73
14,1.6617950488281252,1.8546806369357638,50.89,50.52
15,1.661613327636719,1.8969302435980901,50.506,49.59
16,1.6839891552734383,1.8436795383029514,50.958,50.76
17,1.6583698559570315,1.8445033094618057,51.328,51.44
18,1.6106291894531242,1.7969869520399309,51.998,51.71
19,1.6157513745117185,1.8237194010416669,52.498,51.79
20,1.5951674023437503,1.8543377143012154,52.772,51.7
21,1.5932663354492187,1.821395385742188,52.952,52.2
22,1.6008814648437502,1.9023364800347222,52.838,51.62
23,1.570899265136719,1.8023043755425345,53.834,52.93
24,1.5904581249999998,1.8012536621093753,53.858,53.14
25,1.5725380126953123,1.792247802734375,54.308,53.43
26,1.5465610278320312,1.750159939236111,54.722,54.11
27,1.5481432666015624,1.839469211154514,54.816,54.38
28,1.5553046728515623,1.8164957817925351,55.502,54.39
29,1.5148980639648437,1.7310248480902777,55.838,55.14
30,1.5267591381835937,1.7863942735460074,55.888,54.44
31,1.5415627343750002,1.7898624538845485,55.976,55.54
32,1.5327013940429692,1.7666965603298612,55.902,54.62
33,1.5367087841796876,1.792640096028646,55.836,55.01
34,1.522350993652343,1.7733485921223955,56.5,55.55
35,1.552474631347656,1.7850531412760415,56.252,55.03
36,1.5354537158203123,1.784559299045139,56.52,55.87
37,1.5522187841796882,1.7806952039930555,56.518,55.75
38,1.539149790039063,1.7608315836588542,56.368,55.82
39,1.5248289575195306,1.7099322102864585,56.18,55.72
40,1.5066522998046872,1.6960469970703125,56.75,56.44
41,1.5149233886718754,1.703408650716146,56.88,55.96
42,1.5118642578125,1.7072279052734376,57.298,55.97
43,1.5348999121093752,1.7773036973741319,57.094,55.85
44,1.5275115380859376,1.759212931315104,57.064,55.95
45,1.5268933691406243,1.7200641411675346,57.28,56.83
46,1.5276321826171875,1.7249297553168403,57.512,56.81
47,1.5414784960937498,1.7239285074869792,57.346,56.33
48,1.498888896484375,1.690274943033854,57.96,56.36
49,1.4931866162109382,1.7564834933810762,58.058,57.01
50,1.4872603564453126,1.7259361707899306,58.342,57.31
51,1.4920031152343751,1.7190695936414933,58.13,57.3
52,1.47454826171875,1.717574693467882,58.726,57.64
53,1.463660979003906,1.7042496880425348,58.862,57.58
54,1.4817851025390625,1.689526936848958,58.652,57.83
55,1.482867802734375,1.7166137559678818,58.668,57.95
56,1.4964542578125,1.7049110921223958,58.976,58.03
57,1.4844874584960939,1.7175524088541667,58.862,57.96
58,1.4760493139648432,1.6812893880208333,59.028,58.03
59,1.4804661035156246,1.7166557210286457,58.814,57.71
60,1.478526918945313,1.691846598307292,58.908,57.8
61,1.4679781274414063,1.6768116861979168,59.096,57.54
62,1.483955991210938,1.7032355821397571,59.084,57.59
63,1.4744334082031247,1.702211412217882,59.382,57.58
64,1.4730349340820315,1.727256591796875,59.264,57.25
65,1.4445031372070316,1.708204549153646,59.49,57.61
66,1.448852685546875,1.7052283257378473,59.456,58.34
67,1.4454503686523439,1.6601802842881943,59.49,57.79
68,1.4470400415039066,1.6532567681206596,59.526,58.35
69,1.4561742138671874,1.6642747667100695,59.656,58.66
70,1.4397539208984371,1.682280815972222,59.934,58.87
71,1.4610840795898437,1.6949238009982641,59.914,58.6
72,1.4630159594726562,1.71663616265191,59.796,58.36
73,1.450814904785156,1.7217151421440973,59.758,57.06
74,1.4487794897460942,1.7032744140625,59.904,58.0
75,1.4403723046874994,1.7092896592881948,59.904,58.12
76,1.4265223095703126,1.653392076280382,59.91,58.62
77,1.4443379052734377,1.7080888807508683,60.158,58.64
78,1.454925190429688,1.68588239203559,59.954,58.71
79,1.4537004785156247,1.6897957899305556,60.162,58.75
80,1.4253472973632813,1.6781452094184026,60.428,58.32
81,1.407782978515625,1.7155088433159722,60.46,58.05
82,1.4237158398437502,1.6262171223958335,60.142,58.88
83,1.4290870849609376,1.6144973280164931,60.28,58.93
84,1.4029181665039057,1.6094278700086804,60.524,58.84
85,1.406727651367188,1.6357757432725692,60.722,59.22
86,1.4114302734375002,1.6556231146918403,60.738,59.49
87,1.4154752734374991,1.6483809543185766,60.682,59.11
88,1.4047004541015624,1.6236498887803816,61.062,59.04
89,1.4145958520507804,1.6647482367621529,61.178,58.89
90,1.3975435913085934,1.6110938585069445,61.422,59.89
91,1.4050213574218744,1.6157172309027779,61.116,59.83
92,1.4163763549804687,1.6189238823784722,61.232,59.82
93,1.4086717480468751,1.6549921332465276,61.418,59.62
94,1.3970504785156246,1.5987086588541668,61.522,59.86
95,1.3873289379882814,1.6031958550347225,61.46,60.3
96,1.3960308056640627,1.6147746039496527,61.376,59.39
97,1.402719782714844,1.6195067138671875,61.54,59.89
98,1.4075117480468746,1.6405212537977432,61.67,59.91
99,1.3957256982421873,1.603825642903646,61.418,59.35
100,1.3876901391601562,1.5948442518446182,61.54,60.17
101,1.3854946606445313,1.5915030110677084,61.578,59.84
102,1.3733283422851565,1.5608677435980902,61.536,60.34
103,1.3892145703124998,1.590675564236111,61.296,60.23
104,1.3863671875000003,1.5764039577907984,61.3,59.81
105,1.3969903906249999,1.58830029296875,61.22,60.33
106,1.3826485302734375,1.5873454182942708,61.4,60.1
107,1.3886189355468752,1.5900516086154515,61.452,59.94
