epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.0825808691406245,2.289405395507812,21.64,23.15
1,2.033513581542969,2.2412572564019095,22.308,23.92
2,1.9968266577148441,2.195752983940972,24.888,25.45
3,1.982840185546875,2.172097615559896,25.794,26.79
4,1.9711831640625002,2.1531306966145833,26.78,27.93
5,1.9577755053710932,2.1372490776909725,27.71,28.8
6,1.940810837402343,2.11829052734375,28.49,29.36
7,1.9179571948242187,2.096248779296875,29.56,30.19
8,1.8971097314453127,2.0827280409071176,30.428,30.63
9,1.8767438964843748,2.0597044677734377,31.436,31.49
10,1.859605981445313,2.0500140516493057,32.262,32.25
11,1.8408717651367195,2.034625596788194,33.236,33.42
12,1.8208598559570317,2.0190024142795138,33.942,34.16
13,1.8039584765625,1.9920547688802084,34.196,35.06
14,1.7901208813476563,1.9646319444444447,34.632,35.53
15,1.7691307348632812,1.956072062174479,35.158,36.12
16,1.763831213378907,1.947401000976562,35.274,36.15
17,1.754170661621094,1.9338574083116318,35.674,36.53
18,1.749118308105469,1.918970703125,35.932,36.97
19,1.7428466821289057,1.9257493896484372,36.284,37.14
20,1.7362530004882815,1.916410671657986,36.774,37.56
21,1.72750375,1.9152987467447917,37.432,37.86
22,1.7321453271484375,1.9133907741970486,37.248,37.94
23,1.7251179248046864,1.9171935899522567,37.662,37.98
24,1.7215487670898437,1.9219276529947917,38.086,38.03
25,1.7201764453125004,1.9084937879774304,38.566,38.75
26,1.7068112768554682,1.8982347954644097,38.93,39.22
27,1.7050919848632815,1.9048536376953125,39.106,39.41
28,1.7011812426757813,1.9007966986762146,39.546,39.62
29,1.6970353662109374,1.8985026991102432,39.854,39.79
30,1.6906370776367188,1.8919279513888891,40.282,39.98
31,1.6887216015625,1.8912055799696175,40.504,40.33
32,1.6897059960937504,1.8943953314887156,40.542,40.74
33,1.6881293530273436,1.8877701822916666,40.846,41.34
34,1.6844472216796875,1.8824848904079863,41.204,41.39
35,1.6844078637695308,1.8866731635199656,41.366,41.74
36,1.684658671875,1.8981148817274311,41.484,41.69
37,1.6861561547851562,1.9064020860460067,41.786,41.84
38,1.6823756347656251,1.9081676432291665,41.872,41.95
39,1.6802792504882813,1.9161322970920136,42.322,42.18
40,1.6796909814453127,1.9166298014322918,42.454,42.28
41,1.6783457202148437,1.916455064561632,42.596,42.13
42,1.6782020825195314,1.9193435872395834,42.72,42.51
43,1.6802240502929686,1.9223944498697918,42.724,42.35
44,1.6759859301757811,1.9150627034505208,42.998,42.68
45,1.6771467626953123,1.9346247694227428,43.016,42.19
46,1.678255461425781,1.9274095865885417,43.096,42.34
47,1.6780189746093754,1.9532751736111114,43.052,42.29
48,1.680805354003907,1.9459414469401044,43.032,42.33
49,1.675367255859375,1.9215464002821179,43.366,42.96
50,1.675280075683594,1.9416024441189235,43.686,42.96
51,1.6773637402343753,1.943909708658854,43.836,42.95
52,1.686390766601563,2.0033913167317707,43.748,42.04
53,1.6755973193359381,1.9299324679904513,44.164,43.65
54,1.6832263061523438,1.9756459011501737,44.21,42.93
55,1.6754055566406254,2.007709771050347,44.48,42.74
56,1.6717068286132817,1.9190426432291667,44.62,44.2
57,1.6729363476562502,2.0285580512152777,44.688,42.13
58,1.6740998657226556,1.9625424126519095,44.818,43.5
59,1.6898298657226563,1.994338121202257,44.568,42.95
60,1.6786555102539058,1.9414945339626735,45.084,44.25
61,1.6745047387695313,1.936028116861979,45.516,44.86
62,1.6807056030273437,1.9266184488932292,45.32,44.96
63,1.6874666210937506,1.954825737847222,45.448,44.78
64,1.6767163305664061,2.0554819742838544,45.742,42.87
65,1.6889347973632818,1.9516302218967014,45.862,45.17
66,1.6932835327148439,1.9942631835937499,45.756,44.56
67,1.6856927514648432,1.961277886284722,46.028,45.4
68,1.6869178857421874,2.057601155598958,46.416,43.75
69,1.6925905273437503,2.0022478705512152,46.25,45.16
70,1.6850846264648436,1.955359320746528,46.688,46.07
71,1.6892915307617193,2.0561864827473957,46.64,44.01
72,1.7002892651367194,2.0056196289062505,46.61,45.48
73,1.698206767578125,2.0077433539496528,46.676,45.59
74,1.699502373046875,2.0030542399088542,46.794,45.71
75,1.6983839648437495,2.002169949001736,46.956,45.6
76,1.7103825683593752,2.0392773030598956,46.806,45.31
77,1.7085774487304688,2.075103420681424,47.02,44.84
78,1.7040911816406246,2.0361244710286455,47.27,45.75
79,1.7083654931640624,2.059017835828993,47.364,44.89
80,1.6998228881835937,2.0804359809027777,47.452,44.92
81,1.7082274511718751,2.044638278537326,47.604,45.75
82,1.7122281933593755,2.0945281846788193,47.57,44.93
83,1.7157299365234373,2.0818344997829863,47.744,45.51
84,1.7189964843750003,2.0888720974392365,47.742,45.34
85,1.7214171142578123,2.099493611653646,47.686,45.55
86,1.7203484204101562,2.0648133409288194,48.014,46.09
87,1.7173274218749994,2.094455159505208,48.224,46.06
88,1.7159417211914068,2.1018527153862845,48.262,45.94
89,1.7108634301757812,2.090731703016493,48.406,46.33
90,1.7163239648437494,2.064707628038194,48.532,46.58
