epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.1512562963867183,2.3770243326822915,17.26,20.27
1,2.0454729125976563,2.184847913953993,21.856,25.59
2,1.9480036206054692,2.128196519639757,25.814,27.91
3,1.9047991235351567,2.0740127224392357,28.468,31.39
4,1.8532755883789058,2.14965129937066,31.622,31.73
5,1.8517717333984374,2.069622450086806,32.578,33.29
6,1.8276990209960946,1.9981834716796874,34.154,35.7
7,1.8031245483398437,2.0061659613715275,35.886,35.67
8,1.7565833105468744,1.9949009331597223,37.018,36.84
9,1.7858253247070308,1.9080796169704866,37.196,38.57
10,1.742372236328125,1.9783295355902777,38.05,38.02
11,1.7483612695312494,1.9518664143880207,38.808,39.44
12,1.7264006030273435,1.9280903591579863,39.76,40.46
13,1.7232803662109375,1.9426025661892359,40.598,40.36
14,1.7072613842773448,1.9054453803168403,41.46,41.92
15,1.69395181640625,1.9145312906901042,41.866,41.39
16,1.7062618286132818,1.884660129123264,42.17,43.23
17,1.6805228515625004,1.901687947591146,43.49,44.7
18,1.701650556640625,1.917921969943576,43.914,45.1
19,1.6792900390625,1.8646771240234372,45.072,46.01
20,1.6921559057617186,1.8675813530815972,44.98,46.67
21,1.697867431640625,1.8754920654296876,45.584,46.35
22,1.7121613598632814,1.8724442274305555,43.486,46.45
23,1.690474470214844,1.874826863606771,44.226,46.36
24,1.6791622338867185,1.917369873046875,44.464,47.02
25,1.6951261254882821,1.8664183620876738,46.968,47.2
26,1.6930097436523435,1.9275588378906252,47.08,47.44
27,1.6780965209960932,1.876610324435764,45.858,47.19
28,1.6694231811523437,1.888618381076389,47.558,47.39
29,1.6843490893554693,1.9300964898003474,47.382,46.95
30,1.6708169580078123,1.913258802625868,48.016,47.96
31,1.6621660009765629,1.8848462999131945,46.712,48.49
32,1.667435749511719,1.866351806640625,47.492,48.51
33,1.6770243505859377,1.8906250542534724,47.66,48.99
34,1.6672766796875007,1.8529184299045138,47.844,49.08
35,1.647319650878907,1.94673876953125,48.484,48.74
36,1.6766968237304685,1.9049936523437505,48.16,49.16
37,1.6883034008789064,1.904571695963542,48.196,49.6
38,1.674794111328125,1.8901354844835068,48.688,49.6
39,1.6821096142578127,1.9156960313585065,48.754,49.26
40,1.6868542309570318,1.8897824842664928,48.846,49.27
41,1.6816112499999993,1.9271956922743054,49.204,49.29
42,1.6782355468750003,1.934869574652778,49.996,49.49
43,1.6724294873046872,1.9503802354600697,50.084,49.21
44,1.7231520776367193,1.9779378662109375,49.848,49.06
45,1.660335651855469,1.9129089762369793,50.4,49.96
46,1.6697366796875,1.9014937337239586,50.528,49.71
47,1.6565481884765625,1.9315223795572918,50.976,49.56
48,1.675951408691406,1.9616029052734376,50.886,49.48
49,1.6850741455078129,2.0231620686848957,51.088,50.06
50,1.6852930004882811,1.941114691840278,51.076,50.53
51,1.6673007348632813,1.971069607204861,51.616,50.47
52,1.6776548266601565,1.9599129909939235,51.922,50.57
53,1.6723737866210941,1.9028660346137154,51.874,50.51
54,1.6654569775390624,1.8601116943359375,52.044,50.95
55,1.6582672265624994,1.8952935791015624,52.032,51.1
56,1.664142141113281,1.8957743733723962,51.722,51.06
57,1.6658292993164057,1.8803006320529516,51.782,51.82
58,1.6725608959960934,1.9229395887586809,51.97,51.75
59,1.6815337524414065,1.8843802218967012,51.878,51.18
60,1.633815727539062,1.8891775851779515,52.684,52.21
61,1.6462176586914063,1.9239200032552084,52.676,51.97
62,1.6641258056640624,1.928938761393229,52.898,51.73
63,1.6677215405273431,1.93298639594184,52.806,51.78
64,1.6809492187500001,1.8739159613715277,52.922,52.14
65,1.6648967358398437,1.8896710205078122,53.414,52.06
66,1.6605062744140622,1.8915018039279512,53.794,52.46
67,1.6430082275390632,1.8841971842447915,54.032,51.97
68,1.6539128369140625,1.8256887478298611,53.64,52.87
69,1.6446038574218744,1.8735701497395836,54.29,52.72
70,1.6333529150390627,1.8767142062717015,54.454,52.22
71,1.6315381665039057,1.8510941297743055,54.37,53.03
72,1.6360804614257818,1.8561477864583336,54.57,52.88
73,1.6420412304687506,1.86591162109375,54.418,52.78
74,1.6386015283203124,1.8921355523003471,54.376,53.17
75,1.6295915722656256,1.8910424533420138,54.514,52.89
76,1.6024607788085938,1.8939190809461803,54.538,52.83
