epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.1724584179687505,2.4152710232204857,16.914,17.54
1,1.8565964697265627,2.0527327880859376,32.918,33.17
2,2.39188599609375,2.646331787109375,24.92,25.15
3,1.8711405712890623,2.079263712565104,34.186,35.38
4,2.0874757495117184,2.3265761447482642,31.128,31.75
5,2.073498955078125,2.2958526475694447,32.036,32.75
6,1.857703078613281,2.058950697157118,37.33,37.33
7,1.8016781835937494,1.996811848958333,38.508,39.28
8,1.808554448242187,2.012638237847222,39.184,39.86
9,1.7332582348632812,1.9298599582248264,40.8,41.57
10,1.7169501513671879,1.8979137234157983,42.114,43.01
11,1.9784203662109376,2.1970418972439236,39.62,39.95
12,1.7244085913085936,1.9213416748046876,41.36,42.6
13,1.8373748315429679,2.0421766357421873,41.512,42.15
14,1.7663428588867185,1.9678644205729166,43.192,44.04
15,1.7656793261718748,1.9747158745659723,44.136,44.86
16,1.7518242211914063,1.9458020833333332,41.856,42.82
17,1.7903096044921876,1.9849575059678817,42.01,43.02
18,1.8626025537109379,2.076908216688368,41.942,42.51
19,1.8124841259765623,2.0073870442708337,41.794,42.32
20,1.8233679687500006,2.015998616536459,41.854,42.66
21,1.9502013769531252,2.150180718315972,39.878,40.23
22,1.81268056640625,2.0128839111328123,42.382,43.14
23,1.9130118261718747,2.1210381266276044,41.46,41.77
24,1.9250818188476553,2.1421693522135414,42.172,42.85
25,1.8787395336914061,2.0966232096354167,41.16,41.98
26,1.9277930859374999,2.15666064453125,41.866,42.5
27,1.8691997729492178,2.0732263726128473,42.368,42.88
28,1.8429228417968746,2.0558949517144094,43.242,44.06
29,1.7933715747070316,1.9973319498697915,42.478,43.52
30,1.955460329589844,2.183322713216146,42.492,42.94
31,1.9222044677734376,2.1473848334418397,43.26,44.16
32,1.831620073242187,2.0374642876519093,44.16,44.81
33,1.821452844238282,2.037079494900174,44.146,44.89
34,1.887591877441406,2.119882310655382,44.63,45.1
35,2.0564656567382813,2.3073314344618057,41.496,41.54
36,1.9271533007812505,2.152651611328125,42.866,43.82
37,1.9936357958984374,2.216914103190104,42.638,43.06
38,1.901642744140625,2.1231838243272567,43.52,44.01
39,2.142204455566407,2.382315714518229,38.594,38.78
40,1.9494987475585932,2.168502143012153,41.726,41.61
41,1.9305834228515624,2.1525789659288197,42.52,43.32
42,1.9289408227539062,2.1554525553385413,42.874,43.36
43,1.8309308032226568,2.032986111111111,44.734,45.45
44,1.9081835595703125,2.1352850613064236,43.768,43.38
45,2.058011157226563,2.2788681640625,40.564,41.0
46,2.1501038110351565,2.374693617078993,40.766,41.27
47,1.8751022753906248,2.094886013454861,43.336,44.19
48,1.9531063452148434,2.1658830837673606,41.54,42.36
49,2.314831435546875,2.5777037760416666,39.738,39.93
50,2.1999789990234375,2.4606085069444443,40.884,41.24
51,1.883052507324219,2.1105560302734374,43.17,43.63
52,2.117288662109375,2.361952134874132,40.81,41.21
53,2.0769901953125,2.3134846598307295,41.554,41.86
54,1.9270875317382814,2.1507432318793405,43.114,43.56
55,1.9219767504882812,2.158694146050347,44.368,44.28
56,1.8574829394531245,2.0550996636284724,42.978,43.38
57,1.8870418041992183,2.0973642578125,43.722,43.96
58,1.9590860302734372,2.1983100314670136,43.36,43.53
59,1.9328756152343751,2.1580651991102435,44.18,44.76
60,2.3266598291015628,2.6083851725260416,39.77,39.65
61,1.9793647338867197,2.214001437717014,42.958,42.98
62,2.0970096557617177,2.334418199327257,42.034,42.05
63,2.1967334423828113,2.4373375108506945,40.866,41.56
64,2.022586186523438,2.252848253038194,42.326,42.64
65,1.9745018969726562,2.2117396511501735,41.56,42.0
66,1.8387610888671875,2.0488534206814233,43.91,44.17
67,1.9932778662109378,2.227401516384548,43.678,44.07
68,1.856704067382812,2.070367201063368,44.102,44.25
69,2.004889851074219,2.2333871934678817,43.08,43.37
70,1.842013374023438,2.064571044921875,44.822,45.19
71,1.9074139721679686,2.1369658203125,44.528,45.68
72,2.0484984252929683,2.2874678412543408,42.908,43.43
73,1.9122712695312498,2.1396080186631945,44.056,45.07
74,1.9649952807617184,2.166887573242187,41.934,42.95
75,1.8844094946289056,2.097815212673611,43.434,44.11
76,2.1012770898437494,2.345278998480903,42.44,43.0
77,1.8725176489257813,2.0888739420572917,43.742,44.18
78,2.0157734472656244,2.2454535454644096,41.842,42.38
79,2.164885810546875,2.411416449652778,41.158,41.5
80,2.015010427246094,2.25027594672309,42.55,42.91
81,1.9767848046875003,2.209791314019097,43.23,43.59
82,2.0278735449218757,2.2644173448350697,42.39,42.5
83,1.9343352758789059,2.1356939154730905,43.13,43.51
84,1.9383285571289062,2.1592681206597226,44.028,44.27
85,1.915549765625001,2.1410788302951387,44.598,44.91
86,1.8927624755859376,2.114682291666666,45.262,45.59
87,1.8771429199218752,2.1165294867621522,45.27,45.27
88,1.8437460351562494,2.0672832980685762,45.884,46.05
89,1.9069750854492185,2.1340667182074657,44.284,45.05
90,1.877486677246094,2.0896549614800346,44.734,44.96
91,1.8936154370117189,2.102580227322049,43.786,44.68
92,2.015229807128906,2.2378423122829862,42.336,43.12
93,1.957204904785156,2.1867048882378475,43.184,43.65
94,1.8631332543945314,2.0730418429904516,44.31,44.43
95,1.8589788769531246,2.073659206814236,44.356,44.36
96,2.0087072998046875,2.242849392361111,43.81,44.63
97,1.936354965820313,2.145544270833333,43.52,44.42
98,1.9306384692382808,2.140387505425347,44.346,44.83
99,2.127545080566406,2.369916463216146,40.96,41.13
100,2.0543103247070302,2.2849996609157985,41.906,42.02
101,2.113081853027344,2.3478127848307286,42.308,42.9
102,1.9121895678710936,2.1239206814236113,42.622,43.34
103,1.8491360400390626,2.060126505533854,44.22,44.96
104,1.9113089428710937,2.123146443684896,43.606,44.04
105,2.1436793530273444,2.3871971706814232,40.918,41.19
106,2.0124755981445315,2.2399490559895834,42.742,43.43
107,1.9635878735351566,2.185973714192708,43.472,43.73
108,1.8954731933593751,2.1079731038411453,44.544,45.02
109,2.1098824121093753,2.3308007269965274,40.67,41.1
110,1.9709603369140627,2.194324693467882,43.246,43.84
111,1.8879923535156258,2.092364854600694,43.718,45.06
112,1.9618945800781251,2.193996283637153,43.794,44.05
