epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.059149697265625,2.27546965874566,19.548,19.47
1,1.9669756713867188,2.171973171657986,28.95,29.49
2,1.9921168530273436,2.193310980902778,29.45,30.39
3,1.8786036059570312,2.075139404296875,32.674,33.11
4,1.8726543774414062,2.0724982367621525,34.16,34.69
5,1.833385070800781,2.031742485894098,35.862,36.64
6,1.8194870776367185,2.0132747667100697,37.036,37.09
7,1.8043041503906259,1.998055121527778,38.116,38.34
8,1.8097934643554685,2.0004068332248264,37.94,38.54
9,1.7864064721679682,1.979955756293403,39.306,39.51
10,1.7663142309570319,1.9638179660373265,40.05,40.0
11,1.7840801367187502,1.990325873480903,40.86,40.45
12,1.7909877392578124,2.0068047146267367,40.658,40.3
13,1.8105617846679691,2.0298717041015624,40.8,40.66
14,1.7721033520507807,1.987461642795139,41.948,42.15
15,1.8248471582031252,2.0532957221137154,41.59,40.88
16,1.7413695898437505,1.9500222710503472,41.618,41.55
17,1.773898715820312,1.9873136528862847,41.52,41.68
18,1.7697660839843752,1.978640435112847,41.894,42.26
19,1.743411899414062,1.9484532063802087,42.312,42.36
20,1.7368985131835932,1.9518784044053819,42.244,42.36
21,1.7603329687500002,1.9711177435980902,41.82,42.15
22,1.7905416406249992,2.012023627387153,41.856,41.8
23,1.7403294750976566,1.946338324652778,42.074,42.23
24,1.7300296655273437,1.9389545084635413,42.64,42.63
25,1.7534541674804691,1.9622238362630213,41.784,41.77
26,1.7659767285156256,1.9760581597222222,42.222,42.28
27,1.739867866210938,1.9461830783420138,42.4,42.52
28,1.7754692993164067,1.9890068901909723,41.702,42.04
29,1.7523406542968758,1.9591600613064233,42.366,42.33
30,1.7499537060546873,1.9652031792534723,42.302,42.39
31,1.7300365917968754,1.9385432535807294,43.134,43.09
32,1.7354843823242194,1.9517856580946185,42.836,42.87
33,1.7611415087890625,1.9794262559678824,42.936,43.1
34,1.722468779296875,1.931683336046007,43.204,43.28
35,1.7578208251953122,1.9677068142361114,42.072,41.7
36,1.7385626708984372,1.9503551296657986,42.418,42.12
37,1.7781284375000002,1.9980263129340277,42.168,41.93
38,1.7576640014648435,1.9732878146701391,42.66,42.5
39,1.7510010693359381,1.9538669704861111,41.896,42.26
40,1.8002309692382814,2.0210813395182288,41.202,41.76
41,1.7502468359375003,1.964025634765625,42.184,42.07
42,1.7533810937499998,1.9640943603515626,42.422,42.98
43,1.7330823876953125,1.941030259874132,43.146,42.88
44,1.7319944555664062,1.9425907118055556,43.17,43.36
45,1.7383830224609378,1.945917982313368,41.814,41.85
46,1.7769751586914067,1.9987999810112846,41.944,41.97
