epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.221726623535156,2.4688185763888892,45.905,44.85
1,1.7584523824055993,1.9560028889973955,31.746666666666666,31.91
2,1.48135341796875,1.6490536431206597,47.52333333333333,48.13
3,1.3020486592610672,1.4497461344401041,51.038333333333334,52.02
4,1.1942488667805988,1.329491251627604,52.51833333333333,52.86
5,1.1277960978190107,1.2558749050564237,53.755,53.5
6,1.098304187011719,1.2228203803168405,54.01,53.94
7,1.0876448954264324,1.211315212673611,54.20166666666667,54.3
8,1.0519171966552734,1.1727852105034722,56.59,56.97
9,1.0120794321695965,1.1297042711046004,58.83166666666666,58.92
10,0.991377024332682,1.1078119303385416,60.41833333333334,60.5
11,0.9627065999348957,1.0760056152343749,62.4,63.04
12,0.9506019266764323,1.063298638237847,63.678333333333335,63.7
13,0.9383421712239587,1.0511452568901911,65.065,65.02
14,0.9302824595133465,1.0415782267252605,66.43666666666667,66.76
15,0.9264820688883465,1.0381247626410588,67.505,67.53
16,0.9140994435628255,1.0235764431423613,67.81666666666666,68.04
17,0.9113134552001955,1.0204443630642361,68.73,68.79
18,0.9094179504394528,1.0177973225911459,69.35666666666667,69.45
19,0.9005302469889321,1.0079667426215275,70.14333333333333,70.36
20,0.9032075541178386,1.010384758843316,70.675,70.76
21,0.8954058888753256,1.0031741672092016,71.075,71.16
22,0.8836777659098306,0.9891243218315974,71.19333333333333,71.39
23,0.8780514821370444,0.9818490329318578,71.63666666666667,71.76
24,0.8776570587158202,0.9819788004557292,72.01833333333333,72.15
25,0.879669086710612,0.9842996826171875,72.32833333333333,72.4
26,0.8800801625569661,0.9848557942708334,72.55333333333333,72.45
27,0.8854373657226559,0.9905835164388022,72.69166666666666,72.69
28,0.879883528645833,0.9849445800781249,72.94166666666666,72.72
29,0.8812992146809897,0.9874501817491321,73.075,72.99
30,0.8832243235270184,0.9903456963433158,73.13166666666666,73.19
31,0.8781992238362631,0.9860589803059897,73.38166666666666,73.38
32,0.883037314860026,0.9918919949001737,73.52333333333333,73.37
33,0.884940409342448,0.9943234863281251,73.58833333333334,73.51
34,0.8927221262613935,1.0024715169270833,73.84,73.67
35,0.8939139231363934,1.004326856825087,74.07833333333333,73.86
36,0.8986402353922528,1.0095426771375868,74.08,73.91
37,0.9033168263753254,1.0139083184136284,74.255,74.08
38,0.8997820159912112,1.0124842054578993,74.44666666666667,74.38
39,0.9055532755533856,1.0209177110460068,74.485,74.34
40,0.918472872924805,1.0348059217664929,74.62666666666667,74.32
41,0.9211885691324869,1.0372940538194444,74.71166666666667,74.42
42,0.9149214965820314,1.0313920694986978,74.875,74.5
43,0.9210239298502603,1.0368220825195311,74.97666666666667,74.56
44,0.9217043701171873,1.0382688802083333,75.175,74.86
45,0.9204579427083331,1.036032952202691,75.23,75.02
46,0.9248994822184247,1.0398748440212673,75.41166666666666,74.98
47,0.9196564168294272,1.034825893825955,75.49833333333333,75.29
48,0.9128458251953128,1.0282479926215276,75.66166666666666,75.38
49,0.9150023793538412,1.0293378228081598,75.76666666666667,75.41
50,0.9197351013183594,1.0352745022243923,75.86166666666666,75.36
51,0.9105438791910808,1.0267087605794272,76.11833333333334,75.83
52,0.9091317159016928,1.0250994805230034,76.16666666666667,76.05
53,0.9065091979980467,1.024012722439236,76.30166666666666,75.99
54,0.9031425781249999,1.0214724188910589,76.23666666666666,76.14
55,0.9103069112141925,1.0305469563802083,76.425,76.1
56,0.9041583282470703,1.0237397189670139,76.61,76.28
57,0.8979927968343101,1.018858866373698,76.68166666666667,76.27
58,0.9037104604085286,1.0261412285698783,76.79,76.25
59,0.8977588053385417,1.0197225477430556,76.94333333333333,76.5
60,0.8959946777343748,1.017551527235243,77.01,76.63
61,0.8961251393636064,1.019135036892361,77.07166666666667,76.65
62,0.8945289011637366,1.0181577623155382,77.18,76.6
63,0.8820487416585288,1.0062015448676214,77.28333333333333,76.91
64,0.8829527648925785,1.0067183091905383,77.37333333333333,77.03
65,0.8816738037109375,1.0058920355902778,77.37333333333333,77.14
66,0.8795830668131507,1.004627400716146,77.53,77.21
67,0.8808265563964846,1.0063607109917536,77.53166666666667,77.1
68,0.8767198872884112,1.002326666937934,77.68166666666667,77.2
69,0.8719316965738932,0.995706583658854,77.53,76.92
70,0.8720949696858727,0.9945301513671875,77.60833333333333,76.99
71,0.8626010182698566,0.9854193793402778,77.77333333333333,77.1
72,0.8653215596516927,0.9959276394314236,77.995,77.38
73,0.8521802866617839,0.9740081787109376,77.98333333333333,77.37
74,0.8506334116617836,0.9739366997612847,78.03,77.41
75,0.8461711903889975,0.9694788750542536,78.21166666666667,77.6
76,0.840296180216471,0.963839830186632,78.34666666666666,77.86
77,0.8443730041503905,0.9691810031467012,78.39833333333333,77.82
78,0.8397120005289713,0.9650909966362848,78.46333333333334,77.93
79,0.8357277292887368,0.9608697035047745,78.56666666666666,78.14
80,0.8379667154947918,0.9635716688368053,78.61333333333333,78.17
