epoch,train Loss,test Loss,training accuracy,test accuracy
0,1.795210856119792,1.9953907063802083,31.035,31.42
1,1.4441682434082026,1.6173462863498265,43.075,42.69
2,1.4024931925455726,1.557278333875868,37.343333333333334,37.16
3,1.1200781677246099,1.2687789035373263,51.415,51.09
4,1.0879348520914713,1.231929741753472,52.32333333333333,51.89
5,1.2507199015299484,1.414986300998264,50.97666666666667,50.85
6,1.3128415079752602,1.4782570258246526,53.64333333333333,53.57
7,1.4853396972656252,1.6656494954427083,53.873333333333335,53.81
8,1.2608909952799479,1.432801744249132,53.555,53.37
9,1.4203336730957035,1.600533203125,57.15,57.16
10,1.1560418273925779,1.3144890814887153,64.035,63.66
11,1.0710294799804687,1.207169121636285,69.86666666666666,69.21
12,0.9937563598632814,1.1170963745117186,68.91,68.08
13,1.0567264658610025,1.2061613159179687,72.59666666666666,71.49
14,0.9348261739095051,1.0512101643880207,73.56333333333333,73.44
15,0.9219081075032555,1.0482342325846354,74.62,74.09
16,0.8957895050048826,1.011577338324653,74.77333333333333,74.59
17,0.9064501373291016,1.03586275906033,75.31666666666666,74.81
18,0.9096315450032553,1.0316358846028644,75.235,74.78
19,0.9307737386067707,1.0415458306206598,75.25666666666666,74.95
20,0.9280062540690104,1.0429156222873266,75.82333333333334,75.51
21,0.9363304148356116,1.0547385864257814,75.97,75.45
22,0.9739862589518229,1.0997132500542535,75.96,75.53
23,0.9782470692952476,1.110678412543403,76.18333333333334,75.51
24,1.0186913991292317,1.1504656778971354,75.90666666666667,75.46
25,1.0222762756347654,1.1517842203776043,76.135,75.84
26,1.024851662190755,1.1732742648654515,76.48333333333333,76.05
27,1.1659848968505857,1.3346971571180553,74.57833333333333,73.86
28,1.1031737681070966,1.2641534288194443,75.74833333333333,75.16
29,1.028865966796875,1.1765990125868055,76.73166666666667,76.07
30,1.041820193481445,1.1820799492730034,76.92666666666666,76.34
31,1.017158223470052,1.1501119723849826,77.13833333333334,76.71
32,1.0073486012776696,1.152044908311632,77.26,76.86
33,1.3220011047363274,1.4932387830946179,72.62166666666667,72.32
34,0.974697168986003,1.0946748792860244,77.89666666666666,77.55
35,0.9932353169759112,1.1278279893663194,77.86166666666666,77.27
36,1.0332267395019532,1.1915704752604168,77.11166666666666,76.18
37,0.9908081024169925,1.1354571736653645,77.68166666666667,77.32
38,0.9949039744059248,1.1367328219943578,78.28,77.45
39,0.9859462565104168,1.1157187025282118,78.29333333333334,77.57
40,1.032830830891927,1.180911600748698,77.3,76.63
41,0.970189200846354,1.1057552218967013,78.74833333333333,78.01
42,0.9688757130940763,1.1097207573784722,78.80333333333333,78.16
43,0.9707503346761068,1.1064710286458332,79.16666666666667,78.46
44,1.016958798217773,1.162539069281684,77.99333333333334,77.55
45,1.0333969380696617,1.1860724080403646,78.085,77.25
46,0.9643612121582029,1.1051659749348959,79.60833333333333,79.1
47,0.92766435546875,1.069198967827691,80.09166666666667,79.37
48,0.9020215403238935,1.0451913655598957,80.32833333333333,79.5
49,0.9221677032470704,1.0611380343967012,80.44166666666666,79.7
50,1.0305289052327473,1.1862087741427951,78.54666666666667,78.0
51,0.9284623250325522,1.069439229329427,80.24,79.2
52,0.9244562896728514,1.0694808417426216,80.57833333333333,79.77
53,0.9166012400309248,1.059379957411024,80.88833333333334,79.96
54,0.907932849121094,1.049996826171875,80.75833333333334,79.77
55,0.925794600423177,1.0637178209092883,80.805,79.94
56,0.9624681833902995,1.109895012749566,80.45833333333333,79.76
57,0.9965597951253254,1.1623945855034723,79.16333333333333,77.86
58,0.9756919708251953,1.1236945393880207,79.81166666666667,78.88
59,0.9719884755452474,1.1209204644097222,80.03,79.34
60,1.0443115814208983,1.1967295871310764,79.09333333333333,78.36
61,0.9418136566162113,1.0712816162109375,80.515,79.96
62,0.9658016398111979,1.105203538682726,80.52333333333333,79.72
63,0.9316041412353516,1.072695061577691,80.905,80.35
