epoch,train Loss,test Loss,training accuracy,test accuracy
0,2.2498902180989577,2.5006382649739587,17.468333333333334,17.58
1,2.3440444539388015,2.606368218315972,10.391666666666667,10.24
2,1.6946824401855465,1.8739040798611113,37.721666666666664,38.41
3,1.5233829976399742,1.686604966905382,35.068333333333335,35.33
4,1.3410687093098959,1.4631520453559026,52.195,52.11
5,1.2502553426106764,1.3741812337239585,54.473333333333336,54.82
6,1.029668999226888,1.123205118815104,63.13166666666667,63.75
7,0.9204785237630209,1.0017105712890624,69.39166666666667,69.66
8,1.0611816416422528,1.158162055121528,59.03333333333333,58.44
9,0.8823739349365237,0.9521458875868056,66.42833333333333,66.63
10,0.7974974110921224,0.8475255601671008,75.945,76.77
11,0.7201010650634766,0.765398410373264,78.04666666666667,78.5
12,0.7166398045857747,0.7602019110785591,76.66666666666667,77.32
13,0.7123586247762042,0.7445138821072049,77.65166666666667,78.26
14,0.7154290532430013,0.7504835815429688,79.68,80.32
15,0.6917855682373047,0.7286958414713544,80.67833333333333,80.93
16,0.6449710296630861,0.6859889865451387,81.15333333333334,81.45
17,0.6544930333455404,0.6830016276041666,82.105,82.82
18,0.6971304565429687,0.7390392930772569,81.975,82.4
19,0.5671891133626303,0.5926174994574653,83.91333333333333,84.37
20,0.5809415593465168,0.5946061808268229,83.79333333333334,84.16
21,0.46207926890055345,0.467760501437717,86.59333333333333,87.12
22,0.44452367604573545,0.4444601440429687,87.32166666666667,87.85
23,0.43157833506266274,0.42769593302408854,90.67833333333333,91.07
24,0.35060701624552415,0.3494464806450738,92.05,92.51
25,0.38646628901163743,0.3879979960123699,91.01833333333333,91.62
26,0.35731066894531255,0.36017392985026037,92.51166666666667,93.01
27,0.37708168462117514,0.38204901970757377,91.64166666666667,91.96
28,0.33980757649739585,0.3410957802666558,92.21333333333334,92.56
29,0.34487082722981754,0.3309070095486111,92.86,93.63
30,0.2993432821909586,0.3005393108791775,93.7,93.94
31,0.30041898905436193,0.3027190806070964,93.83833333333334,94.04
32,0.3156056042989096,0.30525920613606766,93.77833333333334,94.39
33,0.3870158785502115,0.3597404632568359,91.27833333333334,92.28
34,0.25118715667724606,0.2357831361558702,94.36166666666666,95.05
35,0.3469747690836587,0.3148155008951823,92.44,93.33
36,0.3558707338968914,0.3346125861273872,92.275,93.22
37,0.2882184346516927,0.2907093963623047,93.625,94.09
38,0.2761280170440674,0.26113185246785486,94.43833333333333,95.06
39,0.29760070889790863,0.2917296998765734,94.13833333333334,94.74
40,0.2545797267913819,0.24415969085693362,94.705,95.16
41,0.2719299049377442,0.255050294664171,94.81333333333333,95.39
42,0.27938927586873363,0.26162549591064455,94.66,95.26
43,0.27231844622294116,0.2698398106892903,94.72,95.23
44,0.25841240336100246,0.2355148671468099,94.715,95.55
45,0.24513295885721845,0.22781762356228297,94.99166666666666,95.76
46,0.2466901034037273,0.23376164330376514,94.98333333333333,95.61
47,0.23931679242451984,0.22847102271185982,95.13666666666667,95.56
48,0.2332522173563639,0.21622911580403648,95.13166666666666,95.63
49,0.2600275221506754,0.2471494640774197,94.945,95.31
50,0.2634484245300293,0.24640216318766278,94.94666666666667,95.43
51,0.25504699554443355,0.24136977810329865,95.06,95.44
52,0.25178062566121423,0.24248590766059028,95.05833333333334,95.29
53,0.25978716138203933,0.2556342815823025,94.9,95.11
54,0.2666543279012044,0.25476318613688154,94.87333333333333,95.28
55,0.25672539431254066,0.24500083414713536,94.935,95.46
