epoch,lr,train loss,train acc,test loss,test acc,
,,,,,,37.43
0,0.1,2.352396084,10.428,2.346156159,9.99,
,,,,,,
1,0.1,2.340884019,12.384,2.332395826,11.29,
,,,,,,
2,0.1,2.31922951,16.088,2.299640909,17.77,
,,,,,,
3,0.1,2.280992829,20.892,2.253680944,22.34,
,,,,,,
4,0.1,2.226279575,23.768,2.19016625,26.09,
,,,,,,
5,0.1,2.159468262,26.176,2.120852835,27.2,
,,,,,,
6,0.1,2.093283529,27.644,2.056608108,28.34,
,,,,,,
7,0.1,2.034299943,28.776,2.003608842,29.14,
,,,,,,
8,0.1,1.985854706,29.814,1.962180135,30.1,
,,,,,,
9,0.1,1.949900389,30.726,1.934788025,31.15,
,,,,,,
10,0.1,1.924392948,31.538,1.913872405,31.56,
,,,,,,
11,0.1,1.905207374,31.904,1.896389657,32.17,
,,,,,,
12,0.1,1.888880718,32.516,1.881247409,32.53,
,,,,,,
13,0.1,1.875404587,32.842,1.867222029,32.91,
,,,,,,
14,0.1,1.864422825,33.238,1.857798988,33.35,
,,,,,,
15,0.1,1.855995533,33.532,1.848648091,33.82,
,,,,,,
16,0.1,1.848730024,33.664,1.841921193,34.01,
,,,,,,
17,0.1,1.842626504,34.008,1.836488875,33.91,
,,,,,,
18,0.1,1.837459868,34.264,1.832439272,33.87,
,,,,,,
19,0.1,1.832998334,34.384,1.828646105,34.09,
,,,,,,
20,0.1,1.829475483,34.584,1.823865903,34.26,
,,,,,,
21,0.1,1.825897939,34.828,1.820355549,34.69,
,,,,,,
22,0.1,1.822812606,34.804,1.817970526,34.7,
,,,,,,
23,0.1,1.819112581,35.08,1.814150066,34.79,
,,,,,,
24,0.1,1.815047456,35.288,1.81094526,35.1,
,,,,,,
25,0.1,1.810987477,35.438,1.805898696,35.29,
,,,,,,
26,0.1,1.806987869,35.582,1.8023549,35.62,
,,,,,,
27,0.1,1.802884686,35.76,1.798422276,35.55,
,,,,,,
28,0.1,1.798452183,36.082,1.794835585,35.75,
,,,,,,
29,0.1,1.794679031,36.188,1.790563484,35.96,
,,,,,,
30,0.02,1.792461257,36.364,1.779935749,36.39,
,,,,,,
31,0.02,1.788403769,36.478,1.779472171,36.33,
,,,,,,
32,0.02,1.787602412,36.502,1.778627977,36.41,
,,,,,,
33,0.02,1.786812887,36.48,1.777957225,36.49,
,,,,,,
34,0.02,1.786055297,36.494,1.777226966,36.45,
,,,,,,
35,0.02,1.78525044,36.51,1.776492824,36.51,
,,,,,,
36,0.02,1.784456292,36.554,1.775756595,36.52,
,,,,,,
37,0.02,1.783685081,36.592,1.775085483,36.46,
,,,,,,
38,0.02,1.782935259,36.632,1.774379988,36.52,
,,,,,,
39,0.02,1.782150865,36.662,1.773435473,36.57,
,,,,,,
40,0.02,1.781316091,36.664,1.772395105,36.56,
,,,,,,
41,0.02,1.780456297,36.72,1.771469304,36.62,
,,,,,,
42,0.02,1.77954585,36.718,1.770480655,36.67,
,,,,,,
43,0.02,1.778621413,36.714,1.769609551,36.68,
,,,,,,
44,0.02,1.777685973,36.678,1.768660905,36.8,
,,,,,,
45,0.02,1.776734508,36.72,1.767713994,36.81,
,,,,,,
46,0.02,1.775808128,36.726,1.76686981,36.8,
,,,,,,
47,0.02,1.774889944,36.758,1.76593844,36.94,
,,,,,,
48,0.02,1.773984444,36.796,1.765168304,36.93,
,,,,,,
