epoch,lr,train loss,train acc,test loss,test acc
0,0.1,2.352928842817034,11.35,2.339440579317054,14.17
1,0.1,2.3325556930230587,16.194,2.3243468829563687,17.54
2,0.1,2.3132454813743126,18.838,2.2990105298100687,19.18
3,0.1,2.2779173072503536,20.0,2.249637944357736,22.19
4,0.1,2.210497252795161,23.65,2.160064531832325,27.27
5,0.1,2.116831200463431,26.774,2.0690379191418082,28.83
6,0.1,2.0492099061304208,28.282,2.019944984085706,30.28
7,0.1,2.0113222307088425,29.698,1.9881339681391814,30.81
8,0.1,1.9810346389303402,30.966,1.959289365885209,31.23
9,0.1,1.9514688058775298,31.736,1.9283191646848405,32.06
10,0.1,1.9212570531027657,32.538,1.8961041289932874,32.72
11,0.1,1.8909966337437532,33.31,1.8654506376811437,33.52
12,0.1,1.8641947167260307,33.964,1.8398330041340418,34.31
13,0.1,1.8419505138786472,34.77,1.8181603538746736,35.24
14,0.1,1.8238705810235472,35.3,1.8016262030114933,35.73
15,0.1,1.8094875423275694,35.932,1.7877068641234417,36.22
16,0.1,1.7976841658962017,36.414,1.7760616102997138,36.77
17,0.1,1.7867132084710258,37.018,1.7648522659223906,36.81
18,0.1,1.7751960243497575,37.428,1.7519455393966363,37.76
19,0.1,1.762344138962882,37.982,1.7415328561043253,38.15
20,0.1,1.7516809726247982,38.4,1.7307782197485164,38.87
21,0.1,1.741072109767369,38.842,1.7219919525847143,39.41
22,0.1,1.7311894747675682,39.258,1.7149995906012399,39.59
23,0.1,1.7231428720513169,39.594,1.7074045745693907,39.59
24,0.1,1.7146812190814895,39.93,1.7014928423628515,39.92
25,0.1,1.706760703300943,40.25,1.6936006619005788,40.02
26,0.1,1.6982444743720853,40.44,1.6874571600738837,40.47
27,0.1,1.6912201983588082,40.648,1.6799918997044465,40.66
28,0.1,1.6832543562869637,40.956,1.6744474926773383,40.91
29,0.1,1.675878670750832,41.248,1.6678045404200652,41.19
30,0.02,1.6687938753439455,41.25,1.6549419845853532,41.53
31,0.02,1.6641854461358518,41.494,1.653572445013085,41.62
32,0.02,1.6625388909359367,41.49,1.6523932242880062,41.78
33,0.02,1.6609792879649572,41.542,1.651222353078881,41.82
34,0.02,1.6594893372788722,41.596,1.6499465071425146,41.9
35,0.02,1.657923705723821,41.68,1.648765658845707,41.94
36,0.02,1.6563568334190213,41.694,1.6473890032087053,41.93
37,0.02,1.6547983446899726,41.782,1.6460855055828483,41.93
38,0.02,1.6531826963230056,41.844,1.6447672843933105,41.88
39,0.02,1.6516910377813845,41.904,1.6433661738220526,41.96
40,0.02,1.6501455525962674,41.99,1.641974797054213,41.92
41,0.02,1.6486929947016191,42.092,1.640594380242484,41.95
42,0.02,1.6473133563995361,42.162,1.6394104738624729,41.97
43,0.02,1.6460119996752058,42.15,1.638105348664887,42.02
44,0.02,1.6446202652794975,42.166,1.637085644566283,42.01
45,0.02,1.6434703943680744,42.192,1.6359198920580806,42.12
46,0.02,1.6422058660156873,42.276,1.6347536164887098,42.14
47,0.02,1.6408200069349639,42.318,1.6335860782740068,42.16
48,0.02,1.6395450635832183,42.372,1.6325697631252056,42.19
49,0.02,1.6384188082753395,42.388,1.6316532796742964,42.21
50,0.02,1.6373050456144371,42.398,1.6306276248425853,42.23
51,0.02,1.6362004523374596,42.43,1.62968368676244,42.25
52,0.02,1.6351115776568044,42.488,1.62868125827945,42.2
53,0.02,1.6340073882317057,42.56,1.6277992433431197,42.19
54,0.02,1.6328545954762672,42.642,1.6267605849674769,42.19
55,0.02,1.631740927696228,42.706,1.6259733973717203,42.15
56,0.02,1.630633884546708,42.75,1.6251500066445799,42.2
57,0.02,1.6296032156263078,42.76,1.6242621796471732,42.39
58,0.02,1.6286452814024321,42.776,1.6233995714966132,42.52
