epoch,lr,train loss,train acc,test loss,test acc
0,0.1,2.362309139602038,10.644,2.341758630713638,11.0
1,0.1,2.338005625471777,11.254,2.333048037120274,13.65
2,0.1,2.3269806784026477,15.172,2.318637040196633,19.25
3,0.1,2.3088474857563877,21.638,2.294661448926342,24.32
4,0.1,2.2751888304340597,24.56,2.2466833786088594,27.28
5,0.1,2.2098001801237768,25.982,2.16030148097447,28.33
6,0.1,2.1206429783178837,26.226,2.0739294144572042,28.33
7,0.1,2.0515713886338838,28.192,2.015033763282153,30.89
8,0.1,2.0021528005599976,30.598,1.96978459796127,32.49
9,0.1,1.9617232692484954,32.224,1.9359903627512407,32.67
10,0.1,1.9276386183135363,33.038,1.9042254005159651,33.28
11,0.1,1.897927746480825,33.726,1.8753395445492802,33.85
12,0.1,1.8732512848717826,34.208,1.8525098367613189,34.5
13,0.1,1.8521315151331377,34.76,1.8315528022999665,35.2
14,0.1,1.8335137707846505,35.338,1.812293563570295,35.87
15,0.02,1.8215494861408157,35.66,1.8064413873516783,35.95
16,0.02,1.8168223220474866,35.94,1.8022616688086062,35.98
17,0.02,1.8131700389239254,36.06,1.7985407332984769,36.13
18,0.02,1.8098252792747653,36.164,1.7949406638437388,36.16
19,0.02,1.8065298333459971,36.314,1.791317891101448,36.26
20,0.02,1.803338843948987,36.454,1.7881676493858805,36.38
21,0.02,1.8001984357833862,36.522,1.7844231274663185,36.48
22,0.02,1.7971208776746477,36.606,1.7811322601474062,36.55
23,0.02,1.7940323985352808,36.702,1.7777299880981445,36.74
24,0.02,1.7910935976067368,36.8,1.7745759195210982,36.77
25,0.02,1.7884302358238064,36.896,1.7713114120522324,37.05
26,0.02,1.7856663222215614,36.994,1.7685408762523107,37.06
27,0.02,1.7828170158425156,37.128,1.7655097246170044,37.15
28,0.02,1.7799935316552922,37.286,1.7625731132468399,37.32
29,0.02,1.777146884373256,37.366,1.759342976978847,37.4
30,0.004,1.7740056879666386,37.468,1.758246891352595,37.56
31,0.004,1.773455904454601,37.548,1.7575449383988673,37.58
32,0.004,1.7728451514730648,37.582,1.7569780982270533,37.64
33,0.004,1.7722770705515025,37.594,1.7564312803501985,37.64
34,0.004,1.7717092767053721,37.618,1.7559051319044463,37.73
35,0.004,1.7711077441974563,37.65,1.7553286430787067,37.77
36,0.004,1.7705565131440455,37.658,1.7547914251989247,37.74
37,0.004,1.7700001609568694,37.666,1.7542554578002618,37.76
38,0.004,1.7694332332027203,37.686,1.7537067933958403,37.75
39,0.004,1.7688732074231517,37.716,1.7531264071561852,37.84
40,0.0008,1.7683007254892467,37.716,1.7527271922753782,37.85
41,0.0008,1.7681674373393157,37.696,1.7526327395925716,37.84
42,0.0008,1.768059363170546,37.7,1.7525345841232611,37.88
43,0.0008,1.7679664894026152,37.714,1.7524596574355145,37.89
44,0.0008,1.7678784934841856,37.706,1.7523325730343253,37.89
45,0.0008,1.7677647751204821,37.718,1.7522378697687266,37.91
46,0.0008,1.7676563652194277,37.702,1.752140397928199,37.93
47,0.0008,1.7675449239964387,37.728,1.7520606493463322,37.89
48,0.0008,1.7674344583433501,37.726,1.7519157784325736,37.93
49,0.0008,1.7673212046525917,37.726,1.7518258946282523,37.91
