epoch,lr,train loss,train acc,test loss,test acc
0,0.5,2.22947257878829,18.756,2.039809686797006,26.25
1,0.5,1.9681367630861244,29.298,1.8773726078928734,32.45
2,0.5,1.8428855258591321,34.468,1.802972633011487,35.92
3,0.5,1.7779849208131129,37.23,1.751080508134803,38.47
4,0.5,1.740190009681546,38.88,1.7155564926108535,40.12
5,0.5,1.7159614271047163,40.25,1.6966824288270912,40.96
6,0.5,1.710533385374108,41.024,1.6988324900062717,41.57
7,0.5,1.71470692936255,41.528,1.6960211724651104,42.46
8,0.5,1.7239566141245317,41.91,1.7084502006063655,42.83
9,0.5,1.740547311549284,42.284,1.7358158656529017,42.63
10,0.5,1.7604243512056312,42.428,1.7602817477012167,42.33
11,0.5,1.7796459660238149,42.68,1.7882131021849963,42.51
12,0.5,1.79676311599965,42.816,1.810885110679938,42.37
13,0.5,1.8139648048245176,42.736,1.8305279430078,42.37
14,0.5,1.8286201442990984,42.828,1.848650404385158,42.02
15,0.5,1.8411398250229505,42.776,1.8694241119890798,42.01
16,0.5,1.853404972018028,42.72,1.8844445700548134,41.98
17,0.5,1.8623959993829533,42.566,1.8976266140840492,41.81
18,0.5,1.869481422463242,42.482,1.9083904490178945,41.49
19,0.5,1.8768744711973229,42.362,1.9196410300780316,41.48
20,0.5,1.8828094759765936,42.14,1.9319985983323078,41.49
21,0.5,1.8914163696522615,42.292,1.9435841428990266,41.35
22,0.5,1.8978766373225622,42.372,1.9562665491688007,41.35
