epoch,lr,train loss,train acc,test loss,test acc
0,0.4,2.2625030692742794,17.888,2.0945588739550844,25.01
1,0.4,1.9897568566458566,29.168,1.891819292185258,33.24
2,0.4,1.8535895639536333,34.526,1.7855441059385027,37.01
3,0.4,1.7766335618739226,37.816,1.7234579908604524,39.75
4,0.4,1.730909824371338,39.668,1.6939054824868027,41.11
5,0.4,1.7110803297587804,40.38,1.6895820997199233,41.37
6,0.4,1.7068893714826934,40.742,1.692144354995416,42.04
7,0.4,1.7108240176220328,41.184,1.6999150125347837,41.86
8,0.4,1.7216036927943328,41.398,1.7162312415181373,41.85
0,0.4,2.26658668323439,16.502,2.0999974498943406,24.8
1,0.4,1.9939357650523284,29.352,1.8917941146967363,34.54
2,0.4,1.8535203544460996,35.056,1.7793817179543632,37.92
3,0.4,1.7658552977503563,38.092,1.7232263258525304,39.53
4,0.4,1.716516915632754,39.466,1.680527188340012,40.99
5,0.4,1.692225614372565,40.584,1.669883029801505,41.92
6,0.4,1.6852706938373798,41.506,1.6771945491129039,41.8
7,0.4,1.6881105948467643,41.74,1.6885476185351003,41.31
8,0.4,1.695815818650382,41.912,1.7052109801039403,41.37
9,0.4,1.7100397251090225,41.82,1.7220895995899124,40.89
10,0.4,1.7261749311369292,41.978,1.7375974071269134,41.38
0,0.4,2.2510580189374028,17.7,2.082573715521365,24.63
1,0.4,1.993652944662133,28.222,1.9095195458859813,31.82
2,0.4,1.8525562626974923,34.11,1.7805744896129685,37.03
3,0.4,1.7514545260643473,37.898,1.6999394236778727,39.59
4,0.4,1.696255396823494,40.2,1.666196380342756,40.86
5,0.4,1.6811553556091932,40.958,1.6732592680016343,41.4
6,0.4,1.6913623639515467,41.544,1.6931819575173515,41.49
7,0.4,1.7127252184614843,41.862,1.7143482042818654,41.63
8,0.4,1.7291590242969745,41.912,1.7327037636114626,41.52
9,0.4,1.744080081277964,41.86,1.74405659461508,41.39
10,0.4,1.7528211973151382,41.926,1.7530123335974557,41.92
11,0.4,1.7641393311169682,41.984,1.7614212984941444,42.23
12,0.4,1.7735050065176827,42.332,1.7684071477578611,42.25
13,0.4,1.7816094525006352,42.564,1.7821962565791851,42.38
14,0.4,1.791563403849699,42.668,1.797118218577638,42.63
15,0.4,1.8026640171907387,42.79,1.808954202398962,42.6
16,0.4,1.8164721946327054,42.54,1.8239918922891423,42.59
17,0.4,1.8305933670121797,42.628,1.8408606855236753,42.63
18,0.4,1.844075363509509,42.604,1.8572087409544964,42.96
19,0.4,1.856910802880112,42.582,1.8689428397587367,43.17
20,0.4,1.8690556725677179,42.624,1.8797288476204386,43.24
